形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLHIGHWAVE,bull,rsi_overbought,1.25,14,57.1,1.13,N,1.77,0.482,28.6,N
CDLHANGINGMAN,bear,rsi_mid_overbought,1.75,13,61.5,1.07,N,1.42,0.11,0.0,N
CDLRICKSHAWMAN,bull,trend_down,0.75,216,44.4,1.07,N,0.88,-0.036,47.2,N
CDLMATCHINGLOW,bull,trend_down,1.0,36,52.8,1.03,N,0.59,-0.162,36.1,N
CDLDOJI,bull,trend_down,1.25,293,49.1,1.02,N,0.86,-0.042,23.5,N
CDLHIKKAKE,bear,none,2.5,520,51.2,1.02,N,1.05,nan,5.2,N
CDLMATCHINGLOW,bull,none,3.0,57,50.9,1.02,N,0.64,-0.097,3.5,N
CDL3OUTSIDE,bear,atr_low,1.0,122,49.2,1.0,N,1.04,0.014,32.0,N
CDLDOJI,bull,none,3.0,544,50.7,1.0,N,0.94,-0.016,2.0,N
CDLLONGLINE,bear,atr_high,2.0,191,51.8,0.95,N,1.18,0.056,10.5,N
CDLRICKSHAWMAN,bull,atr_low,1.0,264,47.3,0.95,N,0.98,-0.006,29.9,N
CDLHAMMER,bull,rsi_mid_oversold,2.75,57,52.6,0.93,N,1.73,0.134,0.0,N
CDLLONGLINE,bear,rsi_mid_overbought,0.5,83,41.0,0.91,N,1.57,0.11,54.2,N
CDLLONGLINE,bear,trend_down,0.5,364,33.8,0.85,N,0.91,-0.043,61.8,N
CDLHANGINGMAN,bear,trend_up,2.25,18,55.6,0.83,N,0.7,-0.043,0.0,N
CDLHARAMICROSS,bear,none,0.5,81,34.6,0.83,N,0.98,-0.015,60.5,N
CDLLONGLEGGEDDOJI,bull,trend_down,2.25,293,51.2,0.83,N,0.87,-0.052,6.8,N
CDLTAKURI,bull,trend_down,2.25,22,54.5,0.82,N,1.21,0.05,9.1,N
CDLDOJI,bull,trend_up,1.75,249,50.2,0.8,N,1.03,0.021,5.6,N
CDLSHORTLINE,bull,trend_up,1.0,282,47.9,0.8,N,1.12,0.035,23.0,N
CDLMATCHINGLOW,bull,atr_high,3.0,19,52.6,0.77,N,0.37,-0.249,5.3,N
CDLHARAMI,bull,rsi_mid_oversold,1.5,74,47.3,0.74,N,1.14,0.072,18.9,N
CDLLONGLEGGEDDOJI,bull,trend_up,1.75,249,50.2,0.74,N,1.03,0.021,5.6,N
CDLTAKURI,bull,atr_low,1.75,37,54.1,0.74,N,1.22,0.039,8.1,N
CDLDRAGONFLYDOJI,bull,none,2.75,51,51.0,0.73,N,1.07,0.025,0.0,N
CDLHAMMER,bull,atr_high,3.0,29,51.7,0.72,N,0.84,-0.125,3.4,N
CDLDRAGONFLYDOJI,bull,atr_low,2.5,38,52.6,0.65,N,1.2,0.046,0.0,N
CDLSHORTLINE,bull,trend_down,2.5,347,49.3,0.65,N,0.85,-0.039,5.8,N
CDLHIKKAKE,bull,trend_down,1.0,266,47.0,0.61,N,1.02,-0.0,31.2,N
CDLTAKURI,bull,none,1.75,50,52.0,0.61,N,1.08,0.02,6.0,N
CDLBELTHOLD,bull,rsi_mid_oversold,0.5,90,38.9,0.59,N,0.98,0.013,57.8,N
CDLHANGINGMAN,bear,none,0.5,29,41.4,0.58,N,1.02,0.04,51.7,N
CDL3LINESTRIKE,bull,none,0.5,21,33.3,0.57,N,1.05,0.004,57.1,N
CDLHAMMER,bull,none,2.75,98,49.0,0.56,N,0.89,-0.102,4.1,N
CDLHIGHWAVE,bear,rsi_mid_overbought,2.0,85,49.4,0.53,N,0.98,-0.051,8.2,N
CDL3OUTSIDE,bear,trend_up,0.75,89,41.6,0.51,N,1.0,0.01,48.3,N
CDLRICKSHAWMAN,bull,none,0.75,392,42.1,0.51,N,0.86,-0.046,44.6,N
CDLBELTHOLD,bear,rsi_oversold,1.5,40,47.5,0.48,N,0.93,-0.01,22.5,N
CDLHARAMICROSS,bear,trend_up,1.5,39,48.7,0.48,N,1.62,0.114,5.1,N
CDLTHRUSTING,bull,none,2.25,10,50.0,0.48,N,1.48,0.112,0.0,N
CDLHANGINGMAN,bear,trend_down,0.75,11,45.5,0.46,N,1.17,0.13,27.3,N
CDLSHORTLINE,bull,none,0.5,629,36.2,0.44,N,0.99,0.003,56.3,N
CDLDRAGONFLYDOJI,bull,trend_down,1.25,23,52.2,0.42,N,1.14,0.049,21.7,N
CDLSHORTLINE,bull,rsi_mid_oversold,2.75,161,49.7,0.42,N,0.93,-0.038,2.5,N
CDLDRAGONFLYDOJI,bull,trend_up,2.75,28,50.0,0.41,N,0.89,-0.016,0.0,N
CDLGRAVESTONEDOJI,bear,atr_high,0.5,17,47.1,0.41,N,1.51,0.144,47.1,N
CDLMATCHINGLOW,bull,atr_low,2.0,37,48.6,0.41,N,0.82,-0.03,13.5,N
CDLMATCHINGLOW,bull,trend_up,3.0,21,42.9,0.41,N,1.33,0.227,0.0,N
CDLHIGHWAVE,bear,atr_high,2.25,116,48.3,0.4,N,0.92,-0.05,6.0,N
CDLHARAMICROSS,bull,trend_down,0.75,42,38.1,0.38,N,0.71,-0.099,54.8,N
CDL3OUTSIDE,bear,none,1.25,202,47.0,0.36,N,0.92,-0.027,23.8,N
CDLTAKURI,bull,trend_up,1.75,28,50.0,0.35,N,0.89,-0.016,0.0,N
CDL3OUTSIDE,bull,rsi_overbought,2.25,12,50.0,0.34,N,0.61,-0.114,8.3,N
CDLHARAMICROSS,bull,atr_low,0.5,60,33.3,0.32,N,0.85,-0.045,60.0,N
CDLADVANCEBLOCK,bear,atr_low,0.5,34,32.4,0.31,N,1.08,0.083,61.8,N
CDLBELTHOLD,bull,rsi_overbought,2.0,32,50.0,0.3,N,0.74,-0.022,12.5,N
CDLHIKKAKE,bull,atr_low,0.5,345,32.2,0.29,N,0.89,-0.039,62.0,N
CDLHIGHWAVE,bear,trend_up,1.25,200,47.5,0.28,N,0.95,-0.023,18.0,N
CDLTAKURI,bull,atr_high,3.0,13,46.2,0.28,N,0.81,-0.036,0.0,N
CDLINVERTEDHAMMER,bull,trend_down,0.5,11,36.4,0.27,N,0.96,-0.125,63.6,N
CDLXSIDEGAP3METHODS,bear,trend_up,0.5,17,29.4,0.27,N,0.56,-0.148,64.7,N
CDL3LINESTRIKE,bear,trend_up,0.5,12,33.3,0.26,N,1.04,0.019,58.3,N
CDLHAMMER,bull,atr_low,2.25,69,47.8,0.24,N,0.93,-0.086,7.2,N
CDLEVENINGSTAR,bear,atr_low,0.75,11,27.3,0.23,N,0.95,0.002,45.5,N
CDLHIGHWAVE,bull,rsi_oversold,2.5,21,47.6,0.22,N,1.16,0.027,4.8,N
CDLMARUBOZU,bear,rsi_mid_overbought,0.5,13,46.2,0.19,N,2.64,0.27,53.8,N
CDLHARAMI,bear,rsi_mid_overbought,0.5,67,34.3,0.17,N,0.92,-0.058,55.2,N
CDLHAMMER,bull,trend_down,2.75,64,50.0,0.15,N,1.35,0.053,1.6,N
CDLHARAMICROSS,bull,atr_high,1.75,20,45.0,0.15,N,0.82,-0.106,15.0,N
CDLBELTHOLD,bear,atr_high,2.5,173,47.4,0.13,N,0.97,0.017,1.7,N
CDLHARAMI,bear,trend_down,0.5,138,32.6,0.12,N,0.96,0.012,61.6,N
CDLSHORTLINE,bear,atr_high,0.75,225,44.9,0.12,N,1.13,0.036,35.6,N
CDLSPINNINGTOP,bear,trend_down,0.5,461,33.0,0.12,N,1.0,0.009,61.6,N
CDL3OUTSIDE,bear,trend_down,1.0,113,44.2,0.11,N,0.83,-0.077,35.4,N
CDLMARUBOZU,bull,atr_high,1.25,45,46.7,0.1,N,1.1,-0.007,24.4,N
CDLGRAVESTONEDOJI,bear,trend_down,0.75,29,41.4,0.09,N,0.97,-0.057,34.5,N
CDLSEPARATINGLINES,bull,trend_up,1.0,14,42.9,0.09,N,1.39,0.118,14.3,N
CDLSHOOTINGSTAR,bear,none,1.5,35,42.9,0.06,N,0.6,-0.149,17.1,N
CDLRICKSHAWMAN,bull,atr_high,1.5,123,46.3,0.05,N,0.8,-0.086,13.8,N
CDLHAMMER,bull,trend_up,1.25,34,44.1,0.03,N,0.33,-0.321,32.4,N
CDL3LINESTRIKE,bull,atr_low,0.5,16,31.2,0.0,N,1.08,0.019,62.5,N
CDLDRAGONFLYDOJI,bull,atr_high,2.25,13,46.2,-0.0,N,0.81,-0.036,0.0,N
CDLHIKKAKE,bull,rsi_overbought,3.0,22,45.5,-0.0,N,1.22,0.035,0.0,N
CDLSHOOTINGSTAR,bear,atr_high,1.0,11,45.5,-0.0,N,0.9,0.061,9.1,N
CDLLONGLINE,bear,rsi_oversold,1.0,37,40.5,-0.03,N,0.79,-0.111,35.1,N
CDLSPINNINGTOP,bear,rsi_mid_overbought,2.0,153,47.7,-0.07,N,0.95,-0.044,7.8,N
CDLBELTHOLD,bear,trend_down,0.5,307,31.6,-0.11,N,0.9,-0.045,63.5,N
CDLHARAMI,bull,atr_low,0.5,167,31.7,-0.12,N,0.78,-0.052,61.1,N
CDLENGULFING,bull,rsi_mid_oversold,1.75,115,46.1,-0.16,N,0.95,-0.053,10.4,N
CDLRICKSHAWMAN,bull,trend_up,2.5,175,46.3,-0.16,N,0.93,-0.014,2.3,N
CDLSHORTLINE,bear,rsi_oversold,2.0,18,44.4,-0.16,N,0.99,-0.047,0.0,N
CDLENGULFING,bear,atr_high,0.5,184,34.8,-0.17,N,1.06,0.007,60.9,N
CDLHARAMICROSS,bear,rsi_mid_overbought,0.5,24,37.5,-0.17,N,1.39,0.04,58.3,N
CDLSPINNINGTOP,bear,atr_low,1.75,580,47.6,-0.2,N,1.0,0.005,11.7,N
CDLDOJI,bull,rsi_oversold,2.25,23,43.5,-0.24,N,0.31,-0.306,8.7,N
CDLLONGLEGGEDDOJI,bull,rsi_oversold,2.5,23,43.5,-0.24,N,0.3,-0.328,8.7,N
CDLMARUBOZU,bear,trend_down,0.5,79,34.2,-0.27,N,1.0,-0.052,59.5,N
CDLSHOOTINGSTAR,bear,atr_low,2.25,23,39.1,-0.32,N,0.43,-0.343,8.7,N
CDLMARUBOZU,bull,rsi_mid_oversold,0.5,29,37.9,-0.35,N,0.99,-0.001,58.6,N
CDL3OUTSIDE,bull,rsi_mid_oversold,1.25,34,41.2,-0.37,N,0.65,-0.219,35.3,N
CDLBELTHOLD,bear,rsi_mid_overbought,0.5,62,35.5,-0.37,N,1.27,0.058,61.3,N
CDLLONGLINE,bear,none,1.0,666,44.3,-0.38,N,0.92,-0.043,31.8,N
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,0.5,33,36.4,-0.39,N,1.0,-0.008,60.6,N
CDLSPINNINGTOP,bull,rsi_overbought,1.5,33,39.4,-0.44,N,1.07,0.098,18.2,N
CDLHANGINGMAN,bear,atr_high,0.5,10,30.0,-0.49,N,0.51,-0.116,60.0,N
CDLENGULFING,bear,trend_up,2.5,239,47.7,-0.5,N,1.04,0.006,5.0,N
CDLLONGLINE,bull,rsi_mid_oversold,0.5,118,34.7,-0.51,N,0.77,-0.088,61.0,N
CDLLONGLEGGEDDOJI,bull,atr_high,2.75,150,46.0,-0.52,N,0.76,-0.102,4.0,N
CDLMARUBOZU,bear,atr_low,0.5,94,29.8,-0.53,N,0.71,-0.097,59.6,N
CDLDOJI,bull,atr_high,2.25,150,46.0,-0.56,N,0.78,-0.09,4.7,N
CDLRICKSHAWMAN,bull,rsi_oversold,2.25,16,31.2,-0.56,N,0.22,-0.452,12.5,N
CDL3INSIDE,bear,atr_low,1.5,21,33.3,-0.59,N,0.27,-0.612,47.6,N
CDLSHOOTINGSTAR,bear,rsi_mid_overbought,2.0,18,38.9,-0.59,N,0.49,-0.239,5.6,N
CDLBELTHOLD,bull,none,2.75,560,45.9,-0.62,N,0.85,-0.071,4.3,N
CDLSPINNINGTOP,bear,trend_up,2.25,362,45.9,-0.65,N,0.89,-0.049,6.6,N
CDLXSIDEGAP3METHODS,bull,atr_low,1.25,26,38.5,-0.66,N,0.68,-0.18,23.1,N
CDLENGULFING,bull,trend_down,1.0,299,41.1,-0.71,N,0.75,-0.121,38.1,N
CDLENGULFING,bear,atr_low,2.25,347,46.4,-0.73,N,0.82,-0.079,7.2,N
CDLINVERTEDHAMMER,bull,none,0.75,20,35.0,-0.79,N,0.61,-0.242,55.0,N
CDLENGULFING,bear,none,1.0,540,43.0,-0.81,N,0.9,nan,34.6,N
CDLGRAVESTONEDOJI,bear,none,1.0,66,37.9,-0.81,N,0.78,-0.085,16.7,N
CDLLONGLINE,bull,atr_low,0.75,464,40.1,-0.84,N,0.85,-0.057,45.7,N
CDLSEPARATINGLINES,bear,atr_low,1.0,21,28.6,-0.86,N,0.56,-0.177,28.6,N
CDLBELTHOLD,bull,trend_up,3.0,253,45.1,-0.88,N,0.83,-0.064,2.4,N
CDLHARAMI,bull,atr_high,0.5,85,29.4,-0.88,N,0.81,-0.074,64.7,N
CDLLONGLINE,bull,trend_up,2.25,302,46.7,-0.91,N,0.94,-0.034,5.6,N
CDLENGULFING,bear,rsi_oversold,1.5,29,37.9,-0.93,N,0.59,-0.259,17.2,N
CDLMARUBOZU,bull,trend_up,0.5,61,31.1,-0.95,N,1.04,-0.005,59.0,N
CDLGRAVESTONEDOJI,bear,trend_up,0.5,37,29.7,-0.96,N,0.7,-0.083,64.9,N
CDLHARAMI,bear,trend_up,0.5,119,28.6,-0.98,N,0.59,-0.144,63.9,N
CDLSPINNINGTOP,bull,none,0.5,828,31.2,-0.98,N,0.87,nan,63.8,N
CDLSHOOTINGSTAR,bear,trend_up,2.5,21,33.3,-0.99,N,0.25,-0.435,9.5,N
CDLBELTHOLD,bear,atr_low,2.0,379,44.3,-1.0,N,0.79,-0.101,8.4,N
CDLHARAMI,bear,none,0.5,257,30.7,-1.0,N,0.79,-0.06,62.6,N
CDL3OUTSIDE,bear,atr_high,2.0,77,41.6,-1.03,N,0.78,-0.114,9.1,N
CDLSPINNINGTOP,bull,rsi_oversold,0.5,37,18.9,-1.05,N,0.72,-0.14,75.7,N
CDLSPINNINGTOP,bear,atr_high,0.5,233,29.2,-1.06,N,0.78,-0.081,65.2,N
CDLINVERTEDHAMMER,bull,atr_low,0.75,17,29.4,-1.1,N,0.3,-0.352,58.8,N
CDLMARUBOZU,bear,none,0.5,140,32.9,-1.12,N,1.02,-0.031,59.3,N
CDL3INSIDE,bear,trend_up,0.75,16,18.8,-1.16,N,0.08,-0.527,75.0,N
CDLHARAMI,bull,rsi_oversold,0.5,12,16.7,-1.18,N,0.16,-0.343,83.3,N
CDLHARAMI,bear,rsi_overbought,0.5,12,16.7,-1.27,N,0.22,-0.292,75.0,N
CDL3INSIDE,bull,trend_down,0.5,16,18.8,-1.28,N,0.41,-0.179,81.2,N
CDLGRAVESTONEDOJI,bear,atr_low,1.0,49,34.7,-1.37,N,0.6,-0.136,16.3,N
CDLSEPARATINGLINES,bear,none,3.0,23,30.4,-1.5,N,0.55,-0.2,0.0,N
CDLXSIDEGAP3METHODS,bull,none,1.0,44,31.8,-1.57,N,0.55,-0.209,31.8,N
CDL3INSIDE,bull,none,0.5,32,18.8,-1.64,N,0.28,-0.265,81.2,N
CDLXSIDEGAP3METHODS,bull,rsi_mid_oversold,1.75,10,20.0,-1.64,N,0.15,-0.504,10.0,N
CDLXSIDEGAP3METHODS,bear,atr_high,1.0,18,22.2,-1.79,N,0.32,-0.308,27.8,N
CDLXSIDEGAP3METHODS,bull,trend_down,1.25,27,25.9,-1.94,N,0.48,-0.286,22.2,N
CDL3INSIDE,bull,atr_high,0.75,11,9.1,-2.24,N,0.22,-0.555,90.9,N
