形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLHARAMICROSS,bull,rsi_mid_oversold,1.75,20,70.0,2.65,Y,1.39,0.252,15.0,Y
CDLADVANCEBLOCK,bear,atr_high,2.75,14,71.4,2.46,Y,2.71,0.432,7.1,Y
CDLLONGLINE,bull,rsi_overbought,1.5,28,64.3,2.06,Y,2.08,0.329,7.1,Y
CDLSHORTLINE,bull,rsi_overbought,0.5,21,57.1,2.05,Y,2.73,0.371,38.1,Y
CDL3OUTSIDE,bear,rsi_mid_overbought,3.0,18,66.7,2.02,Y,2.82,0.328,0.0,Y
CDLSHORTLINE,bear,rsi_mid_overbought,0.75,121,50.4,2.01,Y,1.51,0.143,32.2,N
CDLHIKKAKE,bear,rsi_mid_overbought,2.0,120,55.8,1.94,Y,1.55,0.175,7.5,Y
CDLLONGLEGGEDDOJI,bull,rsi_overbought,0.5,18,66.7,1.94,Y,4.68,0.567,27.8,Y
CDLHIKKAKE,bear,atr_high,1.25,165,53.3,1.87,Y,1.17,0.072,19.4,N
CDLDOJI,bull,rsi_overbought,0.75,18,66.7,1.86,Y,3.97,0.524,22.2,Y
CDLLONGLEGGEDDOJI,bull,atr_low,0.5,386,37.6,1.86,Y,0.98,-0.001,57.8,N
CDLDOJI,bull,atr_low,3.0,386,52.3,1.85,Y,1.02,0.009,1.8,N
CDLADVANCEBLOCK,bear,rsi_mid_overbought,1.0,32,56.2,1.8,Y,1.49,0.208,28.1,Y
CDLMATCHINGLOW,bull,rsi_mid_oversold,1.25,34,55.9,1.8,Y,0.69,-0.109,20.6,Y
CDL3OUTSIDE,bear,rsi_oversold,1.25,12,66.7,1.76,Y,2.38,0.414,25.0,Y
CDLHANGINGMAN,bear,atr_low,0.75,19,52.6,1.69,Y,1.42,0.086,36.8,N
CDLHIKKAKE,bull,rsi_oversold,2.0,23,60.9,1.61,N,0.93,-0.026,17.4,N
CDLHIGHWAVE,bull,rsi_mid_oversold,0.75,126,46.0,1.55,N,1.01,0.002,45.2,N
CDLEVENINGSTAR,bear,trend_down,3.0,11,63.6,1.53,N,2.32,0.306,0.0,N
CDLEVENINGSTAR,bear,none,1.5,19,52.6,1.47,N,1.93,0.214,10.5,N
CDLADVANCEBLOCK,bear,none,0.5,48,39.6,1.44,N,1.59,0.2,56.2,N
CDLADVANCEBLOCK,bear,trend_up,2.75,43,55.8,1.4,N,1.11,0.063,7.0,N
CDLSHOOTINGSTAR,bear,trend_down,0.75,14,50.0,1.38,N,1.7,0.101,35.7,N
CDLENGULFING,bear,rsi_overbought,2.25,20,60.0,1.35,N,1.44,0.128,5.0,N
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,2.5,26,57.7,1.28,N,1.4,0.115,0.0,N
CDLTAKURI,bull,rsi_mid_oversold,2.0,25,60.0,1.27,N,1.45,0.113,8.0,N
CDLSHORTLINE,bear,atr_low,1.75,398,50.5,1.25,N,0.9,-0.024,10.6,N
CDLENGULFING,bear,rsi_mid_overbought,3.0,82,53.7,1.24,N,1.51,0.157,2.4,N
CDLDOJI,bull,rsi_mid_oversold,2.25,283,52.3,1.22,N,0.92,-0.039,6.4,N
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,0.75,283,44.2,1.22,N,0.88,-0.033,45.2,N
CDLLONGLEGGEDDOJI,bull,none,0.75,544,43.8,1.2,N,0.9,-0.024,42.6,N
CDLHIGHWAVE,bull,none,1.75,465,49.9,1.19,N,1.05,0.019,11.2,N
CDLSPINNINGTOP,bull,rsi_mid_oversold,0.5,212,37.3,1.18,N,1.06,0.035,57.5,N
CDLHIGHWAVE,bear,atr_low,0.75,341,42.5,1.17,N,1.09,0.029,42.8,N
CDLRICKSHAWMAN,bull,rsi_mid_oversold,2.5,207,52.2,1.17,N,0.98,-0.023,3.9,N
CDLRICKSHAWMAN,bull,rsi_overbought,1.75,13,61.5,1.16,N,1.7,0.154,7.7,N
CDLHIKKAKE,bear,trend_up,1.5,251,51.8,1.15,N,1.19,0.07,13.9,N
CDLHIGHWAVE,bear,trend_down,2.25,263,51.3,1.14,N,1.13,0.051,6.8,N
CDLHIKKAKE,bull,rsi_mid_oversold,2.5,128,52.3,1.14,N,1.07,0.023,4.7,N
