Datetime,Close,High,Low,Open,Volume
2026-04-15 04:00:00+00:00,4849.7001953125,4850.5,4844.5,4848.0,158
2026-04-15 04:15:00+00:00,4848.39990234375,4851.0,4845.7001953125,4849.60009765625,231
2026-04-15 04:30:00+00:00,4847.2001953125,4851.60009765625,4847.10009765625,4848.7001953125,239
2026-04-15 04:45:00+00:00,4848.89990234375,4850.5,4845.10009765625,4847.2001953125,246
2026-04-15 05:00:00+00:00,4850.2998046875,4852.7998046875,4846.2998046875,4849.10009765625,427
2026-04-15 05:15:00+00:00,4849.7001953125,4854.2998046875,4847.89990234375,4850.2001953125,451
2026-04-15 05:30:00+00:00,4840.5,4851.5,4835.89990234375,4850.0,1227
2026-04-15 05:45:00+00:00,4843.2998046875,4847.10009765625,4837.7001953125,4840.39990234375,1068
2026-04-15 06:00:00+00:00,4842.7998046875,4848.5,4840.10009765625,4843.39990234375,727
2026-04-15 06:15:00+00:00,4838.5,4843.10009765625,4837.2001953125,4843.0,532
2026-04-15 06:30:00+00:00,4839.7001953125,4841.39990234375,4834.60009765625,4838.2001953125,844
2026-04-15 06:45:00+00:00,4834.89990234375,4845.7001953125,4834.2001953125,4839.7998046875,1078
2026-04-15 07:00:00+00:00,4838.60009765625,4840.0,4827.39990234375,4835.2001953125,2204
2026-04-15 07:15:00+00:00,4835.7998046875,4839.0,4829.0,4838.7001953125,1522
2026-04-15 07:30:00+00:00,4833.5,4838.7998046875,4831.60009765625,4835.7001953125,786
2026-04-15 07:45:00+00:00,4834.10009765625,4835.7001953125,4829.0,4833.2998046875,913
2026-04-15 08:00:00+00:00,4834.10009765625,4835.5,4827.10009765625,4833.7998046875,1002
2026-04-15 08:15:00+00:00,4833.2998046875,4837.39990234375,4828.7998046875,4834.5,1143
2026-04-15 08:30:00+00:00,4833.7998046875,4836.0,4828.7998046875,4832.0,779
2026-04-15 08:45:00+00:00,4841.60009765625,4845.39990234375,4832.89990234375,4833.10009765625,1254
2026-04-15 09:00:00+00:00,4827.7998046875,4842.39990234375,4815.2001953125,4841.39990234375,2902
2026-04-15 09:15:00+00:00,4820.0,4830.60009765625,4819.2001953125,4828.10009765625,1252
2026-04-15 09:30:00+00:00,4818.7998046875,4826.89990234375,4818.0,4820.0,1784
2026-04-15 09:45:00+00:00,4821.2001953125,4823.0,4808.39990234375,4818.7998046875,1921
2026-04-15 10:00:00+00:00,4823.89990234375,4826.10009765625,4818.10009765625,4820.60009765625,699
2026-04-15 10:15:00+00:00,4817.5,4824.2001953125,4812.7001953125,4823.89990234375,1147
2026-04-15 10:30:00+00:00,4823.2001953125,4824.2001953125,4815.89990234375,4818.10009765625,915
2026-04-15 10:45:00+00:00,4822.7998046875,4829.2001953125,4821.60009765625,4823.2998046875,919
2026-04-15 11:00:00+00:00,4825.39990234375,4827.2001953125,4818.39990234375,4822.7998046875,600
2026-04-15 11:15:00+00:00,4827.7001953125,4829.7998046875,4822.60009765625,4825.7998046875,491
2026-04-15 11:30:00+00:00,4828.7001953125,4831.5,4825.0,4827.7998046875,705
2026-04-15 11:45:00+00:00,4835.7001953125,4837.7998046875,4826.2998046875,4828.39990234375,1562
2026-04-15 12:00:00+00:00,4836.39990234375,4837.0,4829.2998046875,4835.0,1158
2026-04-15 12:15:00+00:00,4835.2001953125,4838.7001953125,4832.2001953125,4836.7998046875,1432
2026-04-15 12:30:00+00:00,4834.10009765625,4838.5,4832.60009765625,4834.89990234375,737
2026-04-15 12:45:00+00:00,4833.89990234375,4837.89990234375,4830.39990234375,4834.10009765625,730
2026-04-15 13:00:00+00:00,4836.7998046875,4838.89990234375,4831.10009765625,4834.39990234375,1273
2026-04-15 13:15:00+00:00,4844.39990234375,4844.7001953125,4832.7998046875,4836.7998046875,1492
2026-04-15 13:30:00+00:00,4842.60009765625,4848.39990234375,4838.2998046875,4844.39990234375,2484
2026-04-15 13:45:00+00:00,4851.89990234375,4853.5,4842.5,4843.5,2161
2026-04-15 14:00:00+00:00,4851.7998046875,4853.0,4843.5,4851.7001953125,2326
2026-04-15 14:15:00+00:00,4848.2001953125,4854.60009765625,4845.5,4852.0,1890
2026-04-15 14:30:00+00:00,4842.2998046875,4848.7998046875,4838.10009765625,4848.5,1652
2026-04-15 14:45:00+00:00,4838.39990234375,4842.2001953125,4836.2001953125,4842.2001953125,1140
2026-04-15 15:00:00+00:00,4832.60009765625,4839.0,4822.5,4839.0,3367
2026-04-15 15:15:00+00:00,4820.2998046875,4833.60009765625,4819.2001953125,4832.2998046875,2287
2026-04-15 15:30:00+00:00,4826.0,4828.7001953125,4807.89990234375,4820.39990234375,3138
2026-04-15 15:45:00+00:00,4823.5,4829.7998046875,4821.7998046875,4825.60009765625,1786
2026-04-15 16:00:00+00:00,4830.7001953125,4832.7998046875,4822.5,4824.0,1528
2026-04-15 16:15:00+00:00,4833.7001953125,4835.0,4827.39990234375,4830.60009765625,1539
2026-04-15 16:30:00+00:00,4826.60009765625,4834.2001953125,4825.10009765625,4833.7998046875,1718
2026-04-15 16:45:00+00:00,4825.89990234375,4829.39990234375,4822.0,4826.5,1342
2026-04-15 17:00:00+00:00,4820.10009765625,4827.0,4820.10009765625,4826.2001953125,810
2026-04-15 17:15:00+00:00,4823.60009765625,4830.7998046875,4820.2998046875,4820.39990234375,2109
2026-04-15 17:30:00+00:00,4815.60009765625,4824.7001953125,4814.0,4823.89990234375,1653
2026-04-15 17:45:00+00:00,4814.7998046875,4818.10009765625,4812.89990234375,4815.89990234375,1040
2026-04-15 18:00:00+00:00,4819.5,4823.2001953125,4812.2001953125,4814.7998046875,1540
2026-04-15 18:15:00+00:00,4817.0,4821.0,4815.0,4819.0,508
2026-04-15 18:30:00+00:00,4819.2001953125,4820.5,4816.7001953125,4817.2001953125,290
2026-04-15 18:45:00+00:00,4822.2001953125,4825.2998046875,4819.39990234375,4819.5,1195
2026-04-15 19:00:00+00:00,4821.2998046875,4826.10009765625,4820.89990234375,4822.2001953125,474
2026-04-15 19:15:00+00:00,4825.2001953125,4825.7001953125,4820.2998046875,4821.39990234375,268
2026-04-15 19:30:00+00:00,4819.39990234375,4825.60009765625,4817.5,4825.0,386
2026-04-15 19:45:00+00:00,4818.2998046875,4823.7001953125,4817.10009765625,4819.2001953125,558
2026-04-15 20:00:00+00:00,4816.0,4819.39990234375,4815.10009765625,4818.7001953125,282
2026-04-15 20:15:00+00:00,4816.5,4818.39990234375,4816.10009765625,4816.10009765625,94
2026-04-15 20:30:00+00:00,4813.0,4816.10009765625,4812.7998046875,4816.10009765625,241
2026-04-15 20:45:00+00:00,4813.89990234375,4816.0,4810.5,4814.0,561
2026-04-15 22:00:00+00:00,4813.60009765625,4821.10009765625,4812.39990234375,4813.60009765625,223
2026-04-15 22:15:00+00:00,4822.0,4823.7001953125,4814.7001953125,4814.7001953125,453
2026-04-15 22:30:00+00:00,4822.7001953125,4825.0,4820.39990234375,4823.2001953125,365
2026-04-15 22:45:00+00:00,4829.2001953125,4833.7998046875,4823.0,4823.0,1028
2026-04-15 23:00:00+00:00,4834.10009765625,4834.60009765625,4829.2001953125,4829.2001953125,380
2026-04-15 23:15:00+00:00,4836.5,4837.2998046875,4833.60009765625,4834.10009765625,402
2026-04-15 23:30:00+00:00,4844.7001953125,4846.10009765625,4835.89990234375,4836.2998046875,1389
2026-04-15 23:45:00+00:00,4845.39990234375,4848.60009765625,4843.39990234375,4845.10009765625,518
2026-04-16 00:00:00+00:00,4852.2001953125,4854.2998046875,4845.39990234375,4845.39990234375,1129
2026-04-16 00:15:00+00:00,4846.7998046875,4853.5,4843.7998046875,4852.5,1718
2026-04-16 00:30:00+00:00,4854.60009765625,4859.7001953125,4841.10009765625,4846.89990234375,2811
2026-04-16 00:45:00+00:00,4854.7001953125,4859.5,4852.7998046875,4854.2998046875,602
2026-04-16 01:00:00+00:00,4851.60009765625,4858.60009765625,4850.2001953125,4854.7001953125,789
2026-04-16 01:15:00+00:00,4845.39990234375,4852.39990234375,4843.7001953125,4852.2998046875,634
2026-04-16 01:30:00+00:00,4838.2001953125,4847.5,4832.89990234375,4845.5,945
2026-04-16 01:45:00+00:00,4839.89990234375,4844.7001953125,4837.2998046875,4837.60009765625,695
2026-04-16 02:00:00+00:00,4844.0,4847.2001953125,4839.60009765625,4840.7001953125,428
2026-04-16 02:15:00+00:00,4841.39990234375,4845.89990234375,4841.10009765625,4843.39990234375,540
2026-04-16 02:30:00+00:00,4839.10009765625,4843.5,4834.60009765625,4841.39990234375,482
2026-04-16 02:45:00+00:00,4842.10009765625,4843.60009765625,4837.7001953125,4840.0,284
2026-04-16 03:00:00+00:00,4849.0,4849.60009765625,4841.5,4841.7998046875,406
2026-04-16 03:15:00+00:00,4846.5,4849.0,4845.0,4848.7001953125,269
2026-04-16 03:30:00+00:00,4842.89990234375,4848.60009765625,4841.5,4846.60009765625,437
2026-04-16 03:45:00+00:00,4847.7001953125,4849.10009765625,4843.10009765625,4843.10009765625,245
2026-04-16 04:00:00+00:00,4849.39990234375,4849.89990234375,4845.2001953125,4846.2998046875,264
2026-04-16 04:15:00+00:00,4848.89990234375,4852.60009765625,4848.0,4849.5,380
2026-04-16 04:30:00+00:00,4852.89990234375,4853.89990234375,4847.5,4849.0,311
2026-04-16 04:45:00+00:00,4855.7001953125,4856.10009765625,4851.89990234375,4853.39990234375,249
2026-04-16 05:00:00+00:00,4857.0,4861.2998046875,4855.39990234375,4855.5,873
2026-04-16 05:15:00+00:00,4855.5,4859.2001953125,4854.39990234375,4858.0,497
2026-04-16 05:30:00+00:00,4848.2998046875,4856.89990234375,4847.5,4856.0,1487
2026-04-16 05:45:00+00:00,4844.10009765625,4852.60009765625,4843.7001953125,4848.39990234375,1533
2026-04-16 06:00:00+00:00,4845.2001953125,4850.7998046875,4843.60009765625,4843.60009765625,1217
2026-04-16 06:15:00+00:00,4838.0,4848.0,4836.0,4845.10009765625,1722
2026-04-16 06:30:00+00:00,4846.2001953125,4846.5,4836.60009765625,4838.2998046875,2639
2026-04-16 06:45:00+00:00,4848.2998046875,4852.10009765625,4844.0,4845.7001953125,2793
2026-04-16 07:00:00+00:00,4846.2998046875,4852.7998046875,4844.2998046875,4848.0,2338
2026-04-16 07:15:00+00:00,4849.7001953125,4851.39990234375,4838.2998046875,4846.39990234375,2685
2026-04-16 07:30:00+00:00,4849.2998046875,4851.89990234375,4845.60009765625,4849.7001953125,980
2026-04-16 07:45:00+00:00,4843.0,4849.7998046875,4840.60009765625,4848.89990234375,616
2026-04-16 08:00:00+00:00,4833.10009765625,4843.2001953125,4828.0,4842.7998046875,1966
2026-04-16 08:15:00+00:00,4832.89990234375,4836.0,4830.7998046875,4833.0,632
2026-04-16 08:30:00+00:00,4833.2001953125,4834.7998046875,4827.7998046875,4833.0,810
2026-04-16 08:45:00+00:00,4834.7001953125,4836.0,4829.39990234375,4833.39990234375,933
2026-04-16 09:00:00+00:00,4837.7001953125,4839.5,4833.0,4834.89990234375,482
2026-04-16 09:15:00+00:00,4834.2998046875,4838.5,4832.5,4837.2998046875,602
2026-04-16 09:30:00+00:00,4835.7001953125,4836.10009765625,4827.7001953125,4834.2001953125,1550
2026-04-16 09:45:00+00:00,4834.2001953125,4836.7998046875,4831.0,4835.7001953125,690
2026-04-16 10:00:00+00:00,4828.2998046875,4836.7998046875,4828.10009765625,4834.10009765625,716
2026-04-16 10:15:00+00:00,4828.39990234375,4831.5,4825.60009765625,4828.10009765625,351
2026-04-16 10:30:00+00:00,4829.39990234375,4833.5,4826.39990234375,4828.2001953125,523
2026-04-16 10:45:00+00:00,4838.7001953125,4838.7001953125,4827.7998046875,4828.7998046875,593
2026-04-16 11:00:00+00:00,4838.7998046875,4842.10009765625,4837.5,4838.7001953125,720
2026-04-16 11:15:00+00:00,4837.60009765625,4841.5,4836.7998046875,4839.0,479
2026-04-16 11:30:00+00:00,4839.2998046875,4841.60009765625,4837.39990234375,4838.0,414
2026-04-16 11:45:00+00:00,4843.89990234375,4844.2998046875,4837.60009765625,4839.2001953125,572
2026-04-16 12:00:00+00:00,4838.39990234375,4845.0,4833.0,4844.10009765625,1484
2026-04-16 12:15:00+00:00,4837.0,4840.7001953125,4835.5,4838.39990234375,767
2026-04-16 12:30:00+00:00,4838.39990234375,4842.2001953125,4833.10009765625,4836.89990234375,1324
2026-04-16 12:45:00+00:00,4837.7998046875,4840.7001953125,4835.2998046875,4838.5,877
2026-04-16 13:00:00+00:00,4839.10009765625,4844.7998046875,4836.10009765625,4838.2998046875,1820
2026-04-16 13:15:00+00:00,4837.60009765625,4843.39990234375,4837.2001953125,4839.5,1006
2026-04-16 13:30:00+00:00,4837.7998046875,4846.2001953125,4834.39990234375,4837.7998046875,2710
2026-04-16 13:45:00+00:00,4815.89990234375,4841.7001953125,4805.2998046875,4838.0,6600
2026-04-16 14:00:00+00:00,4823.39990234375,4828.39990234375,4806.39990234375,4815.7998046875,5993
2026-04-16 14:15:00+00:00,4821.0,4825.5,4813.2001953125,4823.60009765625,1789
2026-04-16 14:30:00+00:00,4809.2001953125,4823.0,4792.10009765625,4821.5,4427
2026-04-16 14:45:00+00:00,4810.2998046875,4815.2001953125,4806.7001953125,4808.7998046875,1848
2026-04-16 15:00:00+00:00,4828.0,4834.7001953125,4809.89990234375,4810.39990234375,3175
2026-04-16 15:15:00+00:00,4823.2001953125,4831.2998046875,4823.2001953125,4828.60009765625,1458
