形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLSHORTLINE,bear,trend_down,1.75,256,131,125,51.2,48.0,1.01,N,1.14,0.097,1.22,8.6
CDLSHORTLINE,bear,trend_down,2.0,256,131,125,51.2,51.8,-0.19,N,0.94,0.084,1.17,7.0
CDLSHORTLINE,bear,trend_down,2.25,256,131,125,51.2,50.3,0.29,N,0.82,0.078,1.15,5.5
CDLSHORTLINE,bear,trend_down,2.5,256,131,125,51.2,50.7,0.15,N,0.63,0.067,1.11,4.7
CDLSHORTLINE,bear,trend_down,2.75,256,132,124,51.6,48.0,1.15,N,0.76,0.072,1.13,3.9
CDLSHORTLINE,bear,trend_down,3.0,256,132,124,51.6,49.6,0.64,N,0.69,0.066,1.12,3.1
CDLHIKKAKE,bull,rsi_mid_oversold,0.5,105,38,67,36.2,32.7,0.76,N,2.17,0.1,1.43,63.8
CDLHIKKAKE,bull,rsi_mid_oversold,0.75,105,47,58,44.8,41.9,0.59,N,2.39,0.119,1.43,45.7
CDLHIKKAKE,bull,rsi_mid_oversold,1.0,105,48,57,45.7,46.3,-0.13,N,2.06,0.069,1.33,35.2
CDLHIKKAKE,bull,rsi_mid_oversold,1.25,105,53,52,50.5,45.1,1.11,N,2.89,0.13,1.48,22.9
CDLHIKKAKE,bull,rsi_mid_oversold,1.5,105,54,51,51.4,48.6,0.59,N,2.91,0.136,1.48,17.1
CDLHIKKAKE,bull,rsi_mid_oversold,1.75,105,55,50,52.4,51.5,0.18,N,2.92,0.123,1.47,14.3
CDLHIKKAKE,bull,rsi_mid_oversold,2.0,105,55,50,52.4,48.5,0.8,N,2.98,0.121,1.49,9.5
CDLHIKKAKE,bull,rsi_mid_oversold,2.25,105,55,50,52.4,50.8,0.33,N,2.85,0.107,1.45,7.6
CDLHIKKAKE,bull,rsi_mid_oversold,2.5,105,55,50,52.4,52.1,0.05,N,2.59,0.088,1.4,7.6
CDLHIKKAKE,bull,rsi_mid_oversold,2.75,105,55,50,52.4,50.0,0.49,N,2.74,0.101,1.43,4.8
CDLHIKKAKE,bull,rsi_mid_oversold,3.0,105,55,50,52.4,49.9,0.5,N,2.77,0.098,1.44,3.8
CDL3OUTSIDE,bear,trend_up,0.5,75,29,46,38.7,39.3,-0.12,N,-0.23,0.024,0.95,57.3
CDL3OUTSIDE,bear,trend_up,0.75,75,37,38,49.3,43.1,1.09,N,0.43,0.032,1.08,42.7
CDL3OUTSIDE,bear,trend_up,1.0,75,38,37,50.7,46.7,0.69,N,-0.39,-0.012,0.93,30.7
CDL3OUTSIDE,bear,trend_up,1.25,75,38,37,50.7,46.9,0.66,N,-0.34,-0.007,0.94,17.3
CDL3OUTSIDE,bear,trend_up,1.5,75,38,37,50.7,50.7,0.0,N,0.03,0.01,1.01,10.7
CDL3OUTSIDE,bear,trend_up,1.75,75,38,37,50.7,50.4,0.04,N,0.22,0.001,1.04,9.3
CDL3OUTSIDE,bear,trend_up,2.0,75,38,37,50.7,49.4,0.21,N,-0.03,-0.021,0.99,8.0
CDL3OUTSIDE,bear,trend_up,2.25,75,38,37,50.7,49.6,0.19,N,0.23,0.002,1.04,4.0
CDL3OUTSIDE,bear,trend_up,2.5,75,38,37,50.7,50.9,-0.04,N,0.19,-0.0,1.03,1.3
CDL3OUTSIDE,bear,trend_up,2.75,75,38,37,50.7,50.9,-0.04,N,0.15,-0.004,1.03,1.3
CDL3OUTSIDE,bear,trend_up,3.0,75,38,37,50.7,49.6,0.19,N,0.1,-0.007,1.02,1.3
