形态,方向,过滤器,信号数,胜,负,胜率%,平均波动$,保留率%,达标
CDLDRAGONFLYDOJI,bull,trend_down,26,19,7,73.1,12.88,100.0,Y
CDLTAKURI,bull,trend_down,26,19,7,73.1,12.88,100.0,Y
CDLHIKKAKE,bear,atr_low,268,195,73,72.8,13.1,100.0,Y
CDL3OUTSIDE,bear,vol_expand,11,8,3,72.7,19.99,100.0,Y
CDLLONGLINE,bear,rsi_oversold,22,16,6,72.7,13.28,100.0,Y
CDLSEPARATINGLINES,bull,atr_low,11,8,3,72.7,15.76,100.0,Y
CDLSHOOTINGSTAR,bear,atr_low,22,16,6,72.7,9.16,100.0,Y
CDLMARUBOZU,bear,trend_down,62,45,17,72.6,11.58,100.0,Y
CDLMATCHINGLOW,bull,none,40,29,11,72.5,9.54,100.0,Y
CDLHIKKAKE,bear,rsi_mid_overbought,157,113,44,72.0,13.61,100.0,Y
CDLMARUBOZU,bear,none,113,81,32,71.7,11.5,100.0,Y
CDLSHORTLINE,bear,trend_down,256,183,73,71.5,12.36,100.0,Y
CDLHIKKAKE,bear,none,391,279,112,71.4,13.75,100.0,Y
CDLMATCHINGLOW,bull,trend_down,28,20,8,71.4,10.7,100.0,Y
CDL3OUTSIDE,bear,trend_up,75,53,22,70.7,11.12,100.0,Y
CDLENGULFING,bear,rsi_mid_overbought,133,94,39,70.7,12.6,100.0,Y
CDLHIGHWAVE,bull,rsi_overbought,17,12,5,70.6,14.28,100.0,Y
CDLHIKKAKE,bear,rsi_mid_oversold,204,144,60,70.6,13.28,100.0,Y
CDLMARUBOZU,bear,trend_up,51,36,15,70.6,11.4,100.0,Y
CDLDOJI,bull,trend_down,217,153,64,70.5,12.48,100.0,Y
CDLLONGLEGGEDDOJI,bull,trend_down,217,153,64,70.5,12.48,100.0,Y
CDLSPINNINGTOP,bull,vol_expand,44,31,13,70.5,16.25,100.0,Y
CDL3INSIDE,bear,none,27,19,8,70.4,15.61,100.0,Y
CDLSPINNINGTOP,bull,trend_down,321,226,95,70.4,13.24,100.0,Y
CDLRICKSHAWMAN,bull,trend_down,148,104,44,70.3,12.47,100.0,Y
CDLDRAGONFLYDOJI,bull,atr_high,20,14,6,70.0,9.89,100.0,Y
CDLTAKURI,bull,atr_high,20,14,6,70.0,9.89,100.0,Y
CDLSPINNINGTOP,bull,rsi_mid_oversold,285,199,86,69.8,13.08,100.0,Y
CDLHIKKAKE,bear,trend_down,218,152,66,69.7,13.22,100.0,Y
CDLSHOOTINGSTAR,bear,none,33,23,10,69.7,9.42,100.0,Y
CDLBELTHOLD,bear,atr_low,303,211,92,69.6,11.73,100.0,Y
CDLENGULFING,bear,trend_up,135,94,41,69.6,12.7,100.0,Y
CDLHIKKAKE,bear,atr_high,115,80,35,69.6,13.63,100.0,Y
CDLBELTHOLD,bear,rsi_mid_oversold,213,148,65,69.5,12.96,100.0,Y
CDLENGULFING,bear,rsi_mid_oversold,154,107,47,69.5,13.63,100.0,Y
CDLGRAVESTONEDOJI,bear,none,59,41,18,69.5,10.11,100.0,Y
CDLSHORTLINE,bear,atr_high,151,105,46,69.5,13.87,100.0,Y
CDLHARAMICROSS,bear,none,36,25,11,69.4,14.25,100.0,Y
CDLSHORTLINE,bear,rsi_mid_oversold,242,168,74,69.4,12.34,100.0,Y
CDLSPINNINGTOP,bull,rsi_overbought,26,18,8,69.2,13.29,100.0,Y
CDLSPINNINGTOP,bull,atr_low,417,288,129,69.1,12.27,100.0,Y
CDL3OUTSIDE,bear,rsi_mid_overbought,71,49,22,69.0,10.88,100.0,Y
CDLBELTHOLD,bear,trend_up,193,133,60,68.9,12.23,100.0,Y
CDLSPINNINGTOP,bull,none,578,398,180,68.9,13.19,100.0,Y
CDLDOJI,bull,rsi_mid_oversold,192,132,60,68.8,12.48,100.0,Y
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,192,132,60,68.8,12.48,100.0,Y
CDLHARAMI,bear,none,140,96,44,68.6,13.94,100.0,Y
CDLENGULFING,bear,atr_low,213,146,67,68.5,12.72,100.0,Y
CDL3INSIDE,bear,atr_low,19,13,6,68.4,14.59,100.0,Y
CDLENGULFING,bear,none,304,208,96,68.4,13.59,100.0,Y
CDLRICKSHAWMAN,bull,rsi_mid_oversold,136,93,43,68.4,12.52,100.0,Y
CDLGRAVESTONEDOJI,bear,atr_low,41,28,13,68.3,8.06,100.0,Y
CDLSHORTLINE,bear,none,501,342,159,68.3,12.28,100.0,Y
CDLDOJI,bull,rsi_oversold,22,15,7,68.2,15.33,100.0,Y
CDLLONGLEGGEDDOJI,bull,rsi_oversold,22,15,7,68.2,15.33,100.0,Y
CDL3OUTSIDE,bear,none,147,100,47,68.0,13.33,100.0,Y
CDLBELTHOLD,bear,none,434,295,139,68.0,12.58,100.0,Y
CDLLONGLINE,bear,trend_down,259,176,83,68.0,12.74,100.0,Y
CDLHIGHWAVE,bull,rsi_mid_oversold,165,112,53,67.9,14.28,100.0,Y
CDLRICKSHAWMAN,bull,atr_low,190,129,61,67.9,11.81,100.0,Y
CDLSHORTLINE,bear,atr_low,346,235,111,67.9,11.23,100.0,Y
CDLSHORTLINE,bear,vol_expand,28,19,9,67.9,16.48,100.0,Y
CDLLONGLINE,bear,none,475,322,153,67.8,12.94,100.0,Y
CDLLONGLINE,bear,trend_up,214,145,69,67.8,12.69,100.0,Y
CDLLONGLINE,bear,rsi_mid_oversold,242,164,78,67.8,13.39,100.0,Y
CDLENGULFING,bear,trend_down,167,113,54,67.7,13.92,100.0,Y
CDLSHORTLINE,bear,rsi_mid_overbought,210,142,68,67.6,12.16,100.0,Y
CDLSPINNINGTOP,bull,atr_high,145,98,47,67.6,13.62,100.0,Y
CDLBELTHOLD,bear,trend_down,240,162,78,67.5,12.59,100.0,Y
CDLHIGHWAVE,bull,atr_low,249,168,81,67.5,13.11,100.0,Y
CDLLONGLINE,bear,rsi_mid_overbought,191,129,62,67.5,11.96,100.0,Y
CDLHIGHWAVE,bull,trend_up,141,95,46,67.4,12.65,100.0,Y
CDLHIGHWAVE,bull,trend_down,190,128,62,67.4,13.95,100.0,Y
CDLSPINNINGTOP,bull,rsi_mid_overbought,239,161,78,67.4,12.76,100.0,Y
CDLHIGHWAVE,bull,none,333,224,109,67.3,13.68,100.0,Y
CDLBELTHOLD,bear,rsi_mid_overbought,177,119,58,67.2,11.56,100.0,Y
CDLHIGHWAVE,bull,atr_high,76,51,25,67.1,13.23,100.0,Y
CDLSPINNINGTOP,bull,trend_up,255,171,84,67.1,12.77,100.0,Y
CDLHIGHWAVE,bull,rsi_mid_overbought,133,89,44,66.9,12.47,100.0,Y
CDLRICKSHAWMAN,bull,none,266,178,88,66.9,12.13,100.0,Y
CDL3INSIDE,bear,rsi_mid_overbought,12,8,4,66.7,14.57,100.0,Y
CDL3OUTSIDE,bear,rsi_mid_oversold,63,42,21,66.7,15.09,100.0,Y
CDLADVANCEBLOCK,bear,atr_low,15,10,5,66.7,16.09,100.0,Y
CDLBELTHOLD,bear,rsi_oversold,24,16,8,66.7,15.96,100.0,Y
CDLDOJI,bull,atr_low,276,184,92,66.7,11.51,100.0,Y
CDLENGULFING,bear,atr_high,81,54,27,66.7,13.53,100.0,Y
CDLHARAMICROSS,bear,atr_low,27,18,9,66.7,11.47,100.0,Y
CDLINVERTEDHAMMER,bull,rsi_mid_oversold,15,10,5,66.7,16.39,100.0,Y
CDLLONGLEGGEDDOJI,bull,atr_low,276,184,92,66.7,11.51,100.0,Y
CDLMARUBOZU,bear,rsi_mid_overbought,45,30,15,66.7,11.14,100.0,Y
CDLDOJI,bull,none,388,258,130,66.5,11.96,100.0,Y
CDLLONGLEGGEDDOJI,bull,none,388,258,130,66.5,11.96,100.0,Y
CDLDOJI,bull,atr_high,104,69,35,66.3,10.89,100.0,Y
CDLLONGLEGGEDDOJI,bull,atr_high,104,69,35,66.3,10.89,100.0,Y
CDL3OUTSIDE,bear,trend_down,71,47,24,66.2,14.76,100.0,Y
CDLHIKKAKE,bear,vol_expand,29,19,10,65.5,13.96,100.0,Y
CDLLONGLINE,bear,atr_low,333,218,115,65.5,11.78,100.0,Y
CDLMARUBOZU,bear,atr_high,29,19,10,65.5,13.56,100.0,Y
CDLDRAGONFLYDOJI,bull,none,49,32,17,65.3,11.86,100.0,Y
CDLMATCHINGLOW,bull,rsi_mid_oversold,23,15,8,65.2,10.18,100.0,Y
CDLHAMMER,bull,atr_low,43,28,15,65.1,11.65,100.0,Y
CDLLONGLINE,bear,rsi_overbought,20,13,7,65.0,16.58,100.0,Y
CDLSHORTLINE,bear,trend_up,245,159,86,64.9,12.2,100.0,Y
CDLHARAMI,bear,atr_low,105,68,37,64.8,13.93,100.0,Y
CDLGRAVESTONEDOJI,bear,trend_up,34,22,12,64.7,10.73,100.0,Y
CDLHIGHWAVE,bull,rsi_oversold,17,11,6,64.7,15.41,100.0,Y
CDLTAKURI,bull,none,48,31,17,64.6,12.07,100.0,Y
CDL3INSIDE,bear,trend_up,14,9,5,64.3,15.47,100.0,Y
CDLDOJI,bull,rsi_mid_overbought,157,101,56,64.3,10.76,100.0,Y
CDLDRAGONFLYDOJI,bull,atr_low,28,18,10,64.3,12.58,100.0,Y
CDLLONGLEGGEDDOJI,bull,rsi_mid_overbought,157,101,56,64.3,10.76,100.0,Y
CDLRICKSHAWMAN,bull,rsi_overbought,14,9,5,64.3,12.06,100.0,Y
CDLRICKSHAWMAN,bull,atr_high,70,45,25,64.3,10.71,100.0,Y
CDLXSIDEGAP3METHODS,bear,rsi_mid_overbought,14,9,5,64.3,11.58,100.0,Y
CDLRICKSHAWMAN,bull,rsi_mid_overbought,103,66,37,64.1,11.22,100.0,Y
CDLBELTHOLD,bear,atr_high,127,81,46,63.8,13.74,100.0,Y
CDLSHOOTINGSTAR,bear,atr_high,11,7,4,63.6,9.94,100.0,Y
CDLHAMMER,bull,rsi_mid_oversold,38,24,14,63.2,14.25,100.0,Y
CDLTAKURI,bull,atr_low,27,17,10,63.0,12.97,100.0,Y
CDLBELTHOLD,bear,vol_expand,35,22,13,62.9,15.41,100.0,Y
CDLRICKSHAWMAN,bull,trend_up,117,73,44,62.4,11.51,100.0,Y
CDLEVENINGSTAR,bear,none,21,13,8,61.9,9.35,100.0,Y
CDLHAMMER,bull,trend_down,42,26,16,61.9,14.13,100.0,Y
CDLHAMMER,bull,rsi_mid_overbought,21,13,8,61.9,11.76,100.0,Y
CDLDOJI,bull,trend_up,169,104,65,61.5,10.72,100.0,Y
CDLLONGLEGGEDDOJI,bull,trend_up,169,104,65,61.5,10.72,100.0,Y
CDLHANGINGMAN,bear,trend_up,18,11,7,61.1,14.58,100.0,Y
CDLHARAMI,bear,rsi_mid_overbought,54,33,21,61.1,11.75,100.0,Y
CDLSHOOTINGSTAR,bear,rsi_mid_oversold,18,11,7,61.1,9.9,100.0,Y
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,28,17,11,60.7,10.7,100.0,Y
CDLHAMMER,bull,none,66,40,26,60.6,13.28,100.0,Y
CDLHARAMI,bear,trend_up,58,35,23,60.3,13.0,100.0,Y
CDLBELTHOLD,bear,rsi_overbought,20,12,8,60.0,13.52,100.0,Y
CDLENGULFING,bear,vol_expand,25,15,10,60.0,15.81,100.0,Y
CDLDRAGONFLYDOJI,bull,rsi_mid_overbought,22,13,9,59.1,11.45,100.0,N
CDLHANGINGMAN,bear,atr_low,22,13,9,59.1,17.37,100.0,N
CDLSHOOTINGSTAR,bear,trend_down,17,10,7,58.8,9.93,100.0,N
CDLHAMMER,bull,trend_up,24,14,10,58.3,11.78,100.0,N
CDLHANGINGMAN,bear,atr_high,12,7,5,58.3,18.26,100.0,N
CDLMATCHINGLOW,bull,atr_high,12,7,5,58.3,6.16,100.0,N
CDLINVERTEDHAMMER,bull,none,26,15,11,57.7,13.97,100.0,N
CDLEVENINGSTAR,bear,atr_low,14,8,6,57.1,8.49,100.0,N
CDLHANGINGMAN,bear,none,35,20,15,57.1,17.94,100.0,N
CDLHARAMICROSS,bear,rsi_mid_overbought,14,8,6,57.1,10.39,100.0,N
CDLHIKKAKE,bear,rsi_oversold,14,8,6,57.1,16.53,100.0,N
CDLTAKURI,bull,rsi_mid_overbought,21,12,9,57.1,11.89,100.0,N
CDLXSIDEGAP3METHODS,bear,trend_up,14,8,6,57.1,11.03,100.0,N
CDLDRAGONFLYDOJI,bull,trend_up,23,13,10,56.5,10.71,100.0,N
CDL3OUTSIDE,bear,atr_high,39,22,17,56.4,15.23,100.0,N
CDLDOJI,bull,rsi_overbought,16,9,7,56.2,11.52,100.0,N
CDLHANGINGMAN,bear,trend_down,16,9,7,56.2,21.17,100.0,N
CDLLONGLEGGEDDOJI,bull,rsi_overbought,16,9,7,56.2,11.52,100.0,N
CDLRICKSHAWMAN,bull,vol_expand,16,9,7,56.2,12.0,100.0,N
CDLSEPARATINGLINES,bull,none,16,9,7,56.2,14.56,100.0,N
CDLINVERTEDHAMMER,bull,trend_down,18,10,8,55.6,14.94,100.0,N
CDLDOJI,bull,vol_expand,22,12,10,54.5,14.04,100.0,N
CDLLONGLEGGEDDOJI,bull,vol_expand,22,12,10,54.5,14.04,100.0,N
CDLTAKURI,bull,trend_up,22,12,10,54.5,11.1,100.0,N
CDLEVENINGSTAR,bear,rsi_mid_oversold,13,7,6,53.8,8.46,100.0,N
CDLHANGINGMAN,bear,rsi_mid_oversold,13,7,6,53.8,22.81,100.0,N
CDLSHORTLINE,bear,rsi_overbought,26,14,12,53.8,9.63,100.0,N
CDLXSIDEGAP3METHODS,bear,atr_low,26,14,12,53.8,11.44,100.0,N
CDLINVERTEDHAMMER,bull,atr_low,17,9,8,52.9,12.78,100.0,N
CDLEVENINGSTAR,bear,trend_down,14,7,7,50.0,10.69,100.0,N
CDLHAMMER,bull,atr_high,22,11,11,50.0,16.21,100.0,N
CDLHARAMICROSS,bear,trend_up,14,7,7,50.0,11.48,100.0,N
CDLSEPARATINGLINES,bull,trend_down,10,5,5,50.0,16.73,100.0,N
CDLXSIDEGAP3METHODS,bear,none,31,15,16,48.4,11.92,100.0,N
CDLXSIDEGAP3METHODS,bear,trend_down,16,7,9,43.8,10.3,100.0,N
CDLXSIDEGAP3METHODS,bear,rsi_mid_oversold,15,6,9,40.0,10.04,100.0,N
CDLENGULFING,bear,rsi_oversold,13,5,8,38.5,20.03,100.0,N
