形态,方向,过滤器,信号数,胜,负,胜率%,平均波动$,保留率%,达标
CDLMORNINGSTAR,bull,rsi_mid_overbought,11,10,1,90.9,6.95,100.0,Y
CDLMORNINGSTAR,bull,trend_up,10,9,1,90.0,6.24,100.0,Y
CDLMORNINGSTAR,bull,none,18,16,2,88.9,9.13,100.0,Y
CDLHIKKAKE,bear,rsi_overbought,15,13,2,86.7,18.44,100.0,Y
CDL3LINESTRIKE,bear,none,14,12,2,85.7,12.64,100.0,Y
CDLMORNINGSTAR,bull,atr_low,14,12,2,85.7,9.74,100.0,Y
CDLMATCHINGLOW,bull,rsi_mid_overbought,13,11,2,84.6,7.27,100.0,Y
CDLHARAMICROSS,bear,rsi_mid_oversold,19,16,3,84.2,16.34,100.0,Y
CDL3LINESTRIKE,bear,atr_low,12,10,2,83.3,12.36,100.0,Y
CDLADVANCEBLOCK,bear,atr_high,11,9,2,81.8,14.66,100.0,Y
CDLHARAMI,bear,atr_high,33,27,6,81.8,9.87,100.0,Y
CDLSHOOTINGSTAR,bear,trend_up,16,13,3,81.2,8.88,100.0,Y
CDLHARAMICROSS,bear,trend_down,21,17,4,81.0,12.65,100.0,Y
CDLLONGLINE,bear,vol_expand,31,25,6,80.6,14.92,100.0,Y
CDLADVANCEBLOCK,bear,rsi_mid_overbought,15,12,3,80.0,13.54,100.0,Y
CDLSHORTLINE,bear,rsi_oversold,23,18,5,78.3,15.74,100.0,Y
CDLHARAMI,bear,rsi_mid_oversold,77,60,17,77.9,14.57,100.0,Y
CDLMATCHINGLOW,bull,atr_low,27,21,6,77.8,10.96,100.0,Y
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,22,17,5,77.3,12.13,100.0,Y
CDLHIGHWAVE,bull,vol_expand,22,17,5,77.3,13.37,100.0,Y
CDLTAKURI,bull,rsi_mid_oversold,22,17,5,77.3,12.13,100.0,Y
CDL3INSIDE,bear,rsi_mid_oversold,13,10,3,76.9,16.74,100.0,Y
CDLHANGINGMAN,bear,rsi_mid_overbought,13,10,3,76.9,11.9,100.0,Y
CDLGRAVESTONEDOJI,bear,trend_down,25,19,6,76.0,9.25,100.0,Y
CDLGRAVESTONEDOJI,bear,rsi_mid_oversold,25,19,6,76.0,8.97,100.0,Y
CDL3INSIDE,bear,trend_down,12,9,3,75.0,12.41,100.0,Y
CDLADVANCEBLOCK,bear,none,28,21,7,75.0,14.58,100.0,Y
CDLGRAVESTONEDOJI,bear,atr_high,16,12,4,75.0,11.08,100.0,Y
CDLMATCHINGLOW,bull,trend_up,12,9,3,75.0,6.82,100.0,Y
CDLRICKSHAWMAN,bull,rsi_oversold,12,9,3,75.0,13.77,100.0,Y
CDLSHOOTINGSTAR,bear,rsi_mid_overbought,12,9,3,75.0,8.83,100.0,Y
CDLADVANCEBLOCK,bear,trend_up,27,20,7,74.1,14.85,100.0,Y
CDLHARAMI,bear,trend_down,81,60,21,74.1,13.72,100.0,Y
CDLMARUBOZU,bear,rsi_mid_oversold,58,43,15,74.1,12.11,100.0,Y
CDLSPINNINGTOP,bull,rsi_oversold,27,20,7,74.1,17.39,100.0,Y
CDL3OUTSIDE,bear,atr_low,103,76,27,73.8,11.67,100.0,Y
CDLMARUBOZU,bear,atr_low,84,62,22,73.8,10.78,100.0,Y
CDLHIKKAKE,bear,trend_up,172,126,46,73.3,14.37,100.0,Y
CDLLONGLINE,bear,atr_high,131,96,35,73.3,14.21,100.0,Y
