形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLADVANCEBLOCK,bear,none,2.75,33,54.5,1.02,N,1.62,0.24,0.0,N
CDLDRAGONFLYDOJI,bull,trend_up,3.0,25,56.0,1.0,N,1.39,0.066,0.0,N
CDLXSIDEGAP3METHODS,bull,atr_low,1.0,22,50.0,0.9,N,0.99,0.033,36.4,N
CDLDOJI,bull,trend_up,0.5,201,35.3,0.88,N,0.93,-0.036,56.7,N
CDLHIKKAKE,bear,rsi_mid_overbought,0.5,89,31.5,0.83,N,0.97,-0.011,61.8,N
CDLHANGINGMAN,bear,trend_up,3.0,26,53.8,0.82,N,0.91,0.012,3.8,N
CDLSHORTLINE,bear,trend_down,0.75,310,44.2,0.82,N,1.19,0.076,40.0,N
CDLGRAVESTONEDOJI,bear,trend_down,0.5,35,37.1,0.79,N,1.53,0.095,51.4,N
CDLLONGLEGGEDDOJI,bull,rsi_oversold,0.75,21,47.6,0.78,N,1.01,0.095,52.4,N
CDLRICKSHAWMAN,bull,atr_low,2.75,221,50.2,0.74,N,0.82,-0.092,5.0,N
CDLHAMMER,bull,trend_down,1.25,62,46.8,0.71,N,0.95,-0.037,21.0,N
CDLSHOOTINGSTAR,bear,atr_low,0.75,33,45.5,0.65,N,1.29,0.054,48.5,N
CDLSHOOTINGSTAR,bear,trend_up,2.25,30,50.0,0.64,N,1.4,0.243,6.7,N
CDLSHORTLINE,bull,rsi_mid_oversold,1.25,147,49.0,0.58,N,1.22,0.104,19.0,N
CDLLONGLEGGEDDOJI,bull,trend_up,0.5,201,35.3,0.56,N,0.93,-0.036,56.7,N
CDLTAKURI,bull,trend_up,1.25,27,48.1,0.55,N,0.81,-0.082,11.1,N
CDLLONGLEGGEDDOJI,bull,atr_high,0.5,120,36.7,0.53,N,0.96,-0.018,57.5,N
CDLMARUBOZU,bear,atr_high,1.25,62,48.4,0.51,N,0.84,-0.059,25.8,N
CDLMATCHINGLOW,bull,none,0.75,52,46.2,0.51,N,1.04,0.023,40.4,N
CDLMATCHINGLOW,bull,atr_low,0.5,39,35.9,0.51,N,1.21,0.063,59.0,N
CDLBELTHOLD,bull,rsi_overbought,2.75,33,51.5,0.46,N,1.1,0.055,0.0,N
CDLMARUBOZU,bear,atr_low,0.5,89,31.5,0.45,N,0.77,-0.083,58.4,N
CDLMARUBOZU,bear,rsi_mid_overbought,0.75,20,50.0,0.45,N,2.36,0.267,40.0,N
CDLADVANCEBLOCK,bear,atr_low,1.25,24,50.0,0.44,N,1.1,0.107,16.7,N
CDL3OUTSIDE,bull,rsi_mid_oversold,2.25,39,48.7,0.43,N,1.19,0.017,2.6,N
CDLENGULFING,bear,atr_high,2.5,142,49.3,0.43,N,1.02,-0.027,5.6,N
CDLHARAMICROSS,bear,trend_down,1.75,22,40.9,0.41,N,0.51,-0.192,18.2,N
CDLHIGHWAVE,bear,rsi_mid_overbought,2.5,72,48.6,0.41,N,0.98,-0.023,2.8,N
CDLHAMMER,bull,rsi_mid_oversold,3.0,56,50.0,0.38,N,0.9,-0.084,3.6,N
CDLHIKKAKE,bull,atr_low,0.75,305,40.7,0.38,N,1.02,-0.0,45.2,N
CDLSHORTLINE,bear,none,0.5,563,36.4,0.38,N,1.13,0.042,56.0,N
CDLMARUBOZU,bull,none,0.75,153,41.8,0.34,N,0.88,-0.055,45.1,N
CDLMARUBOZU,bull,trend_up,0.75,66,43.9,0.33,N,1.2,0.041,39.4,N
CDLBELTHOLD,bear,atr_high,2.5,182,49.5,0.32,N,0.79,-0.103,4.4,N
CDLSHORTLINE,bull,atr_low,1.5,376,48.9,0.32,N,1.16,0.077,12.8,N
CDLHIGHWAVE,bull,atr_low,1.0,276,45.7,0.31,N,1.15,0.07,29.3,N
CDL3OUTSIDE,bull,atr_low,0.5,111,29.7,0.28,N,0.98,-0.016,63.1,N
CDLHIKKAKE,bull,rsi_mid_oversold,2.5,127,48.0,0.28,N,1.11,0.066,7.1,N
CDLLONGLINE,bear,rsi_oversold,2.0,36,50.0,0.28,N,1.06,0.05,11.1,N
CDLDOJI,bull,atr_high,1.25,120,48.3,0.27,N,0.91,-0.042,20.0,N
CDLLONGLINE,bear,rsi_mid_overbought,2.75,83,48.2,0.24,N,1.28,0.058,0.0,N
CDLXSIDEGAP3METHODS,bull,none,3.0,39,48.7,0.24,N,0.77,-0.057,0.0,N
CDLMARUBOZU,bull,rsi_mid_oversold,1.0,28,46.4,0.22,N,0.68,-0.094,17.9,N
CDLHIGHWAVE,bear,atr_high,1.75,102,50.0,0.21,N,1.07,0.041,9.8,N
CDLMATCHINGLOW,bull,rsi_mid_oversold,1.25,33,45.5,0.18,N,0.82,-0.13,39.4,N
CDLSHOOTINGSTAR,bear,none,1.75,47,48.9,0.17,N,1.2,0.121,6.4,N
CDL3OUTSIDE,bear,trend_down,2.5,119,47.9,0.14,N,1.16,0.017,4.2,N
CDLHAMMER,bull,none,1.5,92,46.7,0.14,N,0.79,-0.109,19.6,N
CDLINVERTEDHAMMER,bull,atr_low,1.25,27,44.4,0.13,N,1.02,0.094,18.5,N
CDLBELTHOLD,bull,trend_up,1.0,247,45.7,0.06,N,0.94,-0.046,33.6,N
CDLHAMMER,bull,atr_low,2.5,73,46.6,0.04,N,0.69,-0.165,8.2,N
CDLSPINNINGTOP,bull,atr_low,1.0,469,44.3,0.03,N,1.1,0.054,30.1,N
CDLHIKKAKE,bear,trend_down,1.0,247,45.3,0.02,N,1.09,0.052,32.4,N
CDLSPINNINGTOP,bear,trend_down,1.0,378,43.9,-0.0,N,1.08,0.059,32.0,N
CDLMATCHINGLOW,bull,trend_down,1.25,39,46.2,-0.05,N,0.71,-0.161,38.5,N
CDLSPINNINGTOP,bull,rsi_overbought,1.0,29,41.4,-0.06,N,0.79,-0.052,44.8,N
CDLSHORTLINE,bull,atr_high,0.75,185,43.8,-0.09,N,1.08,0.009,36.8,N
CDLENGULFING,bear,trend_up,1.5,173,47.4,-0.1,N,0.94,-0.021,16.2,N
CDLHARAMICROSS,bull,trend_up,1.0,26,42.3,-0.1,N,0.88,0.032,26.9,N
CDLENGULFING,bear,trend_down,2.0,243,47.7,-0.11,N,1.0,-0.032,7.8,N
CDL3OUTSIDE,bull,trend_up,0.75,71,42.3,-0.12,N,1.06,0.049,46.5,N
CDLSPINNINGTOP,bear,rsi_mid_overbought,1.25,127,44.9,-0.13,N,0.8,-0.077,23.6,N
CDL3OUTSIDE,bull,none,1.5,192,46.9,-0.16,N,1.05,nan,17.2,N
CDLINVERTEDHAMMER,bull,trend_down,0.5,20,25.0,-0.17,N,1.18,0.124,75.0,N
CDLMARUBOZU,bear,trend_down,1.25,87,43.7,-0.18,N,0.62,-0.187,27.6,N
CDLHAMMER,bull,trend_up,2.5,30,46.7,-0.24,N,0.55,-0.223,6.7,N
CDLLONGLINE,bull,atr_high,1.25,197,46.7,-0.26,N,0.76,-0.114,27.9,N
CDLHARAMICROSS,bear,atr_low,2.75,37,45.9,-0.3,N,1.07,0.077,2.7,N
CDLSHORTLINE,bull,trend_up,0.5,253,34.8,-0.3,N,0.96,-0.018,57.7,N
CDLBELTHOLD,bull,rsi_mid_oversold,0.5,82,31.7,-0.37,N,0.65,-0.109,62.2,N
CDLHARAMI,bear,atr_high,0.5,57,29.8,-0.4,N,0.94,-0.023,61.4,N
CDLRICKSHAWMAN,bull,trend_up,0.5,143,30.8,-0.4,N,0.67,-0.118,60.8,N
CDLHIKKAKE,bear,trend_up,2.25,210,47.1,-0.43,N,0.84,-0.073,9.5,N
CDL3OUTSIDE,bear,atr_high,2.0,74,44.6,-0.45,N,1.03,-0.0,5.4,N
CDLHIKKAKE,bull,atr_high,3.0,146,47.3,-0.48,N,0.75,-0.124,6.2,N
CDLSPINNINGTOP,bear,atr_high,2.5,183,46.4,-0.49,N,0.87,-0.065,5.5,N
CDLENGULFING,bull,none,1.5,419,47.5,-0.5,N,0.95,nan,16.9,N
CDLHIGHWAVE,bull,trend_up,0.5,165,29.1,-0.52,N,0.6,-0.136,67.3,N
CDLINVERTEDHAMMER,bull,none,2.0,30,43.3,-0.55,N,0.63,-0.118,16.7,N
CDLGRAVESTONEDOJI,bear,none,0.5,68,29.4,-0.56,N,0.94,-0.031,61.8,N
CDLLONGLINE,bear,trend_up,1.5,273,45.4,-0.56,N,0.85,-0.089,20.1,N
CDLHARAMICROSS,bull,none,0.5,48,20.8,-0.59,N,0.35,-0.248,77.1,N
CDLHARAMI,bear,rsi_mid_overbought,1.75,48,39.6,-0.63,N,0.85,-0.021,10.4,N
CDLSEPARATINGLINES,bear,none,1.75,21,38.1,-0.69,N,0.32,-0.353,9.5,N
CDLENGULFING,bull,atr_low,1.0,268,42.5,-0.74,N,0.86,-0.057,34.0,N
CDLHIKKAKE,bear,none,0.5,457,31.3,-0.75,N,0.95,-0.016,63.2,N
CDLSPINNINGTOP,bear,none,2.75,662,47.1,-0.91,N,0.96,-0.002,3.8,N
CDLENGULFING,bull,rsi_mid_oversold,0.5,104,32.7,-0.93,N,0.87,-0.06,62.5,N
CDLSPINNINGTOP,bull,trend_up,1.0,284,41.5,-0.93,N,0.82,-0.065,32.4,N
CDLHARAMI,bull,rsi_mid_oversold,2.0,55,40.0,-0.95,N,0.87,-0.003,10.9,N
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,0.5,28,28.6,-0.98,N,0.86,-0.055,64.3,N
CDLBELTHOLD,bull,none,1.5,537,45.8,-0.99,N,0.81,-0.091,19.0,N
CDLLONGLINE,bear,trend_down,1.0,327,42.5,-0.99,N,0.82,-0.065,32.7,N
CDLGRAVESTONEDOJI,bear,atr_low,0.5,49,26.5,-1.03,N,0.76,-0.097,65.3,N
CDLBELTHOLD,bear,trend_down,1.5,289,43.9,-1.11,N,0.7,-0.133,21.1,N
CDLHIKKAKE,bull,rsi_overbought,0.75,20,25.0,-1.12,N,0.45,-0.258,60.0,N
CDLHARAMI,bull,trend_down,3.0,102,42.2,-1.17,N,0.97,0.023,3.9,N
CDLLONGLINE,bull,rsi_mid_oversold,1.25,109,40.4,-1.2,N,0.56,-0.196,27.5,N
CDLHIGHWAVE,bull,rsi_oversold,1.0,21,23.8,-1.21,N,0.51,-0.332,52.4,N
CDLSPINNINGTOP,bull,rsi_oversold,1.75,34,35.3,-1.23,N,0.57,-0.242,20.6,N
CDLLONGLINE,bear,atr_low,1.0,391,41.4,-1.25,N,0.86,-0.058,33.5,N
CDL3INSIDE,bull,none,0.5,27,18.5,-1.26,N,0.62,nan,74.1,N
CDLBELTHOLD,bear,atr_low,3.0,344,45.6,-1.43,N,0.82,-0.086,2.6,N
CDLGRAVESTONEDOJI,bear,trend_up,1.0,33,30.3,-1.58,N,0.55,-0.146,18.2,N
CDLHARAMI,bull,atr_low,2.0,126,39.7,-1.61,N,0.97,0.017,8.7,N
CDLHARAMI,bull,trend_up,2.75,84,36.9,-1.62,N,0.82,-0.062,3.6,N
CDLLONGLINE,bull,none,0.75,603,38.0,-1.64,N,0.83,nan,49.3,N
CDLHARAMI,bull,none,0.5,187,25.7,-1.84,N,0.86,nan,67.4,N
