形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLDRAGONFLYDOJI,bull,trend_down,1.25,26,65.4,2.71,Y,2.76,0.515,15.4,Y
CDLDRAGONFLYDOJI,bull,none,2.5,51,64.7,2.48,Y,2.46,0.337,2.0,Y
CDLTAKURI,bull,rsi_mid_oversold,2.75,25,72.0,2.47,Y,3.88,0.477,4.0,Y
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,2.25,27,66.7,2.26,Y,2.13,0.342,11.1,Y
CDLTAKURI,bull,trend_down,1.5,24,66.7,2.26,Y,2.77,0.491,16.7,Y
CDLTAKURI,bull,none,2.75,51,62.7,2.17,Y,1.73,0.25,3.9,Y
CDLDOJI,bull,atr_low,0.5,322,37.0,2.1,Y,1.06,0.022,58.7,N
CDLLONGLEGGEDDOJI,bull,trend_down,3.0,242,55.0,2.02,Y,0.96,-0.002,2.9,Y
CDLLONGLEGGEDDOJI,bull,atr_low,2.5,317,53.6,1.96,Y,1.0,0.009,4.4,N
CDLDRAGONFLYDOJI,bull,atr_low,3.0,38,63.2,1.95,Y,2.16,0.322,2.6,Y
CDLRICKSHAWMAN,bull,trend_down,2.5,174,55.7,1.91,Y,0.98,-0.026,5.7,Y
CDLSHORTLINE,bear,rsi_overbought,1.25,22,63.6,1.9,Y,2.2,0.309,4.5,Y
CDLDOJI,bull,trend_down,2.75,247,55.1,1.89,Y,0.94,-0.013,4.5,Y
CDLRICKSHAWMAN,bull,rsi_mid_oversold,3.0,164,55.5,1.88,Y,0.95,-0.047,3.7,Y
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.5,229,54.6,1.8,Y,0.95,-0.015,5.2,N
CDLADVANCEBLOCK,bear,trend_up,1.5,28,57.1,1.69,Y,1.53,0.255,10.7,Y
CDLTAKURI,bull,atr_low,1.25,38,52.6,1.69,Y,1.26,0.157,18.4,N
CDLDOJI,bull,rsi_mid_oversold,3.0,233,54.5,1.68,Y,0.97,-0.016,3.0,N
CDLENGULFING,bear,rsi_mid_overbought,1.25,67,53.7,1.56,N,1.16,0.074,20.9,N
CDLDOJI,bull,none,0.75,448,43.8,1.53,N,1.01,0.009,42.4,N
CDLHIGHWAVE,bear,trend_down,2.25,218,52.8,1.49,N,1.23,0.114,6.0,N
CDLBELTHOLD,bull,rsi_oversold,1.25,40,52.5,1.45,N,1.32,0.183,27.5,N
CDLHIGHWAVE,bull,rsi_mid_oversold,2.75,99,56.6,1.39,N,0.87,-0.035,5.1,N
CDLSHOOTINGSTAR,bear,rsi_mid_overbought,0.5,22,50.0,1.37,N,4.22,0.479,40.9,N
CDLHANGINGMAN,bear,atr_low,0.5,26,46.2,1.31,N,2.34,0.292,53.8,N
CDLLONGLEGGEDDOJI,bull,none,0.5,443,36.6,1.21,N,1.01,0.006,58.7,N
CDLSHORTLINE,bear,rsi_mid_overbought,0.5,110,40.9,1.18,N,1.42,0.092,49.1,N
CDLHANGINGMAN,bear,none,0.5,38,36.8,1.14,N,1.23,0.098,63.2,N
CDLRICKSHAWMAN,bull,none,0.5,317,35.6,1.13,N,0.88,-0.05,59.6,N
CDLRICKSHAWMAN,bull,atr_high,0.5,91,42.9,1.12,N,1.16,0.045,51.6,N
CDLBELTHOLD,bear,rsi_mid_overbought,2.75,63,54.0,1.11,N,1.54,0.125,1.6,N
CDLDOJI,bull,rsi_oversold,0.75,22,50.0,1.09,N,1.16,0.146,50.0,N
CDLHIGHWAVE,bear,none,1.0,383,45.4,1.08,N,1.09,0.053,29.5,N
CDLSPINNINGTOP,bull,rsi_mid_oversold,2.0,158,52.5,1.07,N,0.88,-0.034,10.1,N
CDLLONGLINE,bull,rsi_overbought,2.75,32,56.2,1.06,N,1.27,0.091,3.1,N
CDLXSIDEGAP3METHODS,bear,trend_down,3.0,22,54.5,1.04,N,1.03,0.053,0.0,N
