形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLLONGLINE,bull,rsi_overbought,1.5,26,16,10,61.5,44.6,1.74,Y,23.47,0.991,3.98,11.5
CDLLONGLINE,bull,rsi_overbought,1.75,26,16,10,61.5,49.0,1.27,N,22.82,0.962,3.68,11.5
CDLLONGLINE,bull,rsi_overbought,2.0,26,16,10,61.5,46.8,1.51,N,22.17,0.934,3.42,11.5
CDLLONGLINE,bull,rsi_overbought,2.25,26,16,10,61.5,52.9,0.88,N,21.52,0.905,3.19,11.5
CDLLONGLINE,bull,rsi_overbought,2.5,26,16,10,61.5,49.0,1.27,N,20.87,0.876,2.99,11.5
CDLLONGLINE,bull,rsi_overbought,2.75,26,16,10,61.5,43.9,1.81,Y,20.22,0.847,2.82,11.5
CDLLONGLINE,bull,rsi_overbought,3.0,26,16,10,61.5,49.0,1.27,N,19.57,0.818,2.66,11.5
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,0.5,22,9,13,40.9,35.2,0.56,N,-0.15,-0.006,0.98,54.5
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,0.75,22,13,9,59.1,40.2,1.81,Y,0.42,0.107,1.04,27.3
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,1.0,22,13,9,59.1,47.3,1.1,N,1.36,0.09,1.16,18.2
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,1.25,22,13,9,59.1,47.7,1.07,N,0.94,0.079,1.11,13.6
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,1.5,22,14,8,63.6,48.5,1.42,N,3.32,0.159,1.42,9.1
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,1.75,22,14,8,63.6,53.8,0.93,N,2.8,0.141,1.33,4.5
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,2.0,22,14,8,63.6,54.5,0.86,N,2.47,0.129,1.28,4.5
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,2.25,22,14,8,63.6,52.3,1.07,N,3.08,0.151,1.38,0.0
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,2.5,22,14,8,63.6,45.5,1.71,Y,3.08,0.151,1.38,0.0
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,2.75,22,14,8,63.6,49.6,1.31,N,3.08,0.151,1.38,0.0
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,3.0,22,14,8,63.6,51.5,1.14,N,3.08,0.151,1.38,0.0
CDLHARAMI,bear,atr_low,0.5,88,28,60,31.8,32.0,-0.04,N,2.73,0.039,1.37,63.6
CDLHARAMI,bear,atr_low,0.75,88,43,45,48.9,39.7,1.76,Y,5.4,0.163,1.76,37.5
CDLHARAMI,bear,atr_low,1.0,88,47,41,53.4,46.8,1.25,N,6.12,0.196,1.8,27.3
CDLHARAMI,bear,atr_low,1.25,88,48,40,54.5,45.5,1.71,Y,6.03,0.184,1.77,19.3
CDLHARAMI,bear,atr_low,1.5,88,48,40,54.5,48.5,1.14,N,6.03,0.183,1.77,14.8
CDLHARAMI,bear,atr_low,1.75,88,48,40,54.5,48.1,1.21,N,5.83,0.171,1.72,9.1
CDLHARAMI,bear,atr_low,2.0,88,48,40,54.5,46.6,1.5,N,5.67,0.165,1.69,5.7
CDLHARAMI,bear,atr_low,2.25,88,48,40,54.5,48.8,1.08,N,5.47,0.155,1.65,4.5
CDLHARAMI,bear,atr_low,2.5,88,48,40,54.5,48.3,1.17,N,5.37,0.155,1.63,3.4
CDLHARAMI,bear,atr_low,2.75,88,48,40,54.5,47.7,1.28,N,5.18,0.146,1.59,3.4
CDLHARAMI,bear,atr_low,3.0,88,48,40,54.5,48.6,1.12,N,4.98,0.138,1.56,3.4
CDLHARAMICROSS,bull,atr_low,0.5,26,12,14,46.2,40.7,0.57,N,8.5,0.149,2.52,50.0
CDLHARAMICROSS,bull,atr_low,0.75,26,15,11,57.7,41.3,1.69,Y,10.15,0.222,3.02,26.9
CDLHARAMICROSS,bull,atr_low,1.0,26,15,11,57.7,46.8,1.11,N,9.44,0.183,2.64,19.2
CDLHARAMICROSS,bull,atr_low,1.25,26,16,10,61.5,49.4,1.24,N,10.12,0.22,2.86,11.5
CDLHARAMICROSS,bull,atr_low,1.5,26,16,10,61.5,46.5,1.54,N,11.34,0.278,3.68,3.8
CDLHARAMICROSS,bull,atr_low,1.75,26,16,10,61.5,55.4,0.62,N,11.18,0.268,3.54,3.8
CDLHARAMICROSS,bull,atr_low,2.0,26,16,10,61.5,49.0,1.27,N,11.34,0.278,3.67,0.0
CDLHARAMICROSS,bull,atr_low,2.25,26,16,10,61.5,49.0,1.27,N,11.34,0.278,3.67,0.0
CDLHARAMICROSS,bull,atr_low,2.5,26,16,10,61.5,44.6,1.74,Y,11.34,0.278,3.67,0.0
CDLHARAMICROSS,bull,atr_low,2.75,26,16,10,61.5,50.0,1.18,N,11.34,0.278,3.67,0.0
CDLHARAMICROSS,bull,atr_low,3.0,26,16,10,61.5,51.0,1.08,N,11.34,0.278,3.67,0.0
CDL3OUTSIDE,bull,none,0.5,131,47,84,35.9,35.8,0.03,N,1.03,nan,1.12,59.5
CDL3OUTSIDE,bull,none,0.75,131,62,69,47.3,43.0,1.0,N,1.46,nan,1.15,40.5
CDL3OUTSIDE,bull,none,1.0,131,68,63,51.9,44.7,1.67,Y,1.3,nan,1.13,29.8
CDL3OUTSIDE,bull,none,1.25,131,71,60,54.2,47.0,1.65,Y,3.26,nan,1.38,15.3
CDL3OUTSIDE,bull,none,1.5,131,71,60,54.2,46.7,1.72,Y,2.67,nan,1.29,13.0
CDL3OUTSIDE,bull,none,1.75,131,71,60,54.2,48.8,1.24,N,2.38,nan,1.25,10.7
CDL3OUTSIDE,bull,none,2.0,131,71,60,54.2,52.0,0.51,N,1.96,nan,1.2,7.6
CDL3OUTSIDE,bull,none,2.25,131,71,60,54.2,50.4,0.86,N,2.11,nan,1.22,4.6
CDL3OUTSIDE,bull,none,2.5,131,71,60,54.2,49.7,1.02,N,1.76,nan,1.18,4.6
CDL3OUTSIDE,bull,none,2.75,131,71,60,54.2,49.7,1.02,N,1.7,nan,1.17,3.1
CDL3OUTSIDE,bull,none,3.0,131,71,60,54.2,46.7,1.72,Y,1.72,nan,1.17,2.3
CDLHIGHWAVE,bull,rsi_mid_oversold,0.5,55,23,32,41.8,36.5,0.82,N,3.22,0.064,1.38,56.4
CDLHIGHWAVE,bull,rsi_mid_oversold,0.75,55,28,27,50.9,44.4,0.97,N,5.24,0.11,1.59,38.2
CDLHIGHWAVE,bull,rsi_mid_oversold,1.0,55,32,23,58.2,53.2,0.74,N,5.94,0.114,1.67,27.3
CDLHIGHWAVE,bull,rsi_mid_oversold,1.25,55,32,23,58.2,50.9,1.08,N,6.59,0.082,1.8,21.8
CDLHIGHWAVE,bull,rsi_mid_oversold,1.5,55,32,23,58.2,50.0,1.21,N,6.18,0.06,1.72,14.5
CDLHIGHWAVE,bull,rsi_mid_oversold,1.75,55,32,23,58.2,46.7,1.71,Y,6.1,0.05,1.7,10.9
CDLHIGHWAVE,bull,rsi_mid_oversold,2.0,55,32,23,58.2,49.8,1.24,N,7.54,0.126,2.04,3.6
CDLHIGHWAVE,bull,rsi_mid_oversold,2.25,55,32,23,58.2,50.8,1.1,N,7.39,0.117,1.99,3.6
CDLHIGHWAVE,bull,rsi_mid_oversold,2.5,55,32,23,58.2,48.9,1.37,N,7.23,0.108,1.95,3.6
CDLHIGHWAVE,bull,rsi_mid_oversold,2.75,55,32,23,58.2,49.5,1.28,N,7.08,0.099,1.91,3.6
CDLHIGHWAVE,bull,rsi_mid_oversold,3.0,55,32,23,58.2,48.2,1.48,N,6.92,0.09,1.88,3.6
CDLLONGLEGGEDDOJI,bull,trend_down,0.5,165,64,101,38.8,34.7,1.09,N,2.65,0.025,1.36,56.4
CDLLONGLEGGEDDOJI,bull,trend_down,0.75,165,77,88,46.7,41.0,1.49,N,3.33,0.038,1.39,43.6
CDLLONGLEGGEDDOJI,bull,trend_down,1.0,165,82,83,49.7,44.1,1.45,N,2.79,0.002,1.29,37.0
CDLLONGLEGGEDDOJI,bull,trend_down,1.25,165,85,80,51.5,47.6,1.01,N,3.71,-0.002,1.39,26.1
CDLLONGLEGGEDDOJI,bull,trend_down,1.5,165,88,77,53.3,47.9,1.39,N,3.84,0.009,1.41,17.6
CDLLONGLEGGEDDOJI,bull,trend_down,1.75,165,89,76,53.9,48.2,1.47,N,3.88,0.012,1.42,13.3
CDLLONGLEGGEDDOJI,bull,trend_down,2.0,165,91,74,55.2,49.9,1.35,N,4.92,0.061,1.59,7.9
CDLLONGLEGGEDDOJI,bull,trend_down,2.25,165,91,74,55.2,49.1,1.54,N,4.81,0.055,1.57,6.7
CDLLONGLEGGEDDOJI,bull,trend_down,2.5,165,91,74,55.2,48.5,1.7,Y,4.47,0.039,1.51,6.7
CDLLONGLEGGEDDOJI,bull,trend_down,2.75,165,91,74,55.2,51.4,0.96,N,4.18,0.024,1.46,6.1
CDLLONGLEGGEDDOJI,bull,trend_down,3.0,165,92,73,55.8,49.5,1.61,N,4.65,0.055,1.54,4.2
CDLGRAVESTONEDOJI,bear,atr_low,0.5,39,18,21,46.2,37.6,1.1,N,3.03,0.169,1.45,51.3
CDLGRAVESTONEDOJI,bear,atr_low,0.75,39,22,17,56.4,43.6,1.61,N,2.9,0.208,1.37,30.8
CDLGRAVESTONEDOJI,bear,atr_low,1.0,39,23,16,59.0,45.5,1.69,Y,3.05,0.188,1.39,25.6
CDLGRAVESTONEDOJI,bear,atr_low,1.25,39,23,16,59.0,51.5,0.93,N,2.05,0.146,1.23,20.5
CDLGRAVESTONEDOJI,bear,atr_low,1.5,39,24,15,61.5,48.3,1.66,Y,3.77,0.199,1.48,10.3
CDLGRAVESTONEDOJI,bear,atr_low,1.75,39,24,15,61.5,52.1,1.18,N,3.29,0.176,1.39,7.7
CDLGRAVESTONEDOJI,bear,atr_low,2.0,39,24,15,61.5,53.2,1.04,N,2.91,0.157,1.33,7.7
CDLGRAVESTONEDOJI,bear,atr_low,2.25,39,24,15,61.5,53.0,1.07,N,3.07,0.156,1.35,5.1
CDLGRAVESTONEDOJI,bear,atr_low,2.5,39,24,15,61.5,49.4,1.52,N,3.48,0.185,1.42,2.6
CDLGRAVESTONEDOJI,bear,atr_low,2.75,39,24,15,61.5,49.6,1.49,N,3.39,0.178,1.41,2.6
CDLGRAVESTONEDOJI,bear,atr_low,3.0,39,24,15,61.5,49.8,1.47,N,3.29,0.172,1.39,2.6
CDLLONGLEGGEDDOJI,bull,atr_high,0.5,87,33,54,37.9,38.4,-0.09,N,1.37,0.047,1.14,54.0
CDLLONGLEGGEDDOJI,bull,atr_high,0.75,87,40,47,46.0,42.7,0.61,N,1.35,0.035,1.12,36.8
CDLLONGLEGGEDDOJI,bull,atr_high,1.0,87,44,43,50.6,46.2,0.82,N,1.44,0.034,1.12,31.0
CDLLONGLEGGEDDOJI,bull,atr_high,1.25,87,45,42,51.7,49.0,0.5,N,1.23,0.005,1.1,25.3
CDLLONGLEGGEDDOJI,bull,atr_high,1.5,87,46,41,52.9,43.9,1.69,Y,1.83,0.026,1.15,16.1
CDLLONGLEGGEDDOJI,bull,atr_high,1.75,87,46,41,52.9,48.2,0.88,N,1.68,0.007,1.13,12.6
CDLLONGLEGGEDDOJI,bull,atr_high,2.0,87,48,39,55.2,48.4,1.27,N,3.25,0.078,1.29,5.7
CDLLONGLEGGEDDOJI,bull,atr_high,2.25,87,48,39,55.2,50.5,0.88,N,3.37,0.082,1.31,3.4
CDLLONGLEGGEDDOJI,bull,atr_high,2.5,87,48,39,55.2,48.3,1.29,N,3.16,0.073,1.28,3.4
CDLLONGLEGGEDDOJI,bull,atr_high,2.75,87,48,39,55.2,50.0,0.96,N,2.94,0.064,1.26,3.4
CDLLONGLEGGEDDOJI,bull,atr_high,3.0,87,48,39,55.2,49.0,1.14,N,3.11,0.069,1.27,2.3
CDLMARUBOZU,bull,none,0.5,99,42,57,42.4,36.4,1.25,N,2.25,0.129,1.29,54.5
CDLMARUBOZU,bull,none,0.75,99,51,48,51.5,44.2,1.47,N,2.05,0.125,1.24,37.4
CDLMARUBOZU,bull,none,1.0,99,53,46,53.5,49.2,0.87,N,1.39,0.104,1.15,26.3
CDLMARUBOZU,bull,none,1.25,99,54,45,54.5,48.6,1.19,N,0.71,0.076,1.07,22.2
CDLMARUBOZU,bull,none,1.5,99,56,43,56.6,50.5,1.21,N,0.29,0.061,1.03,17.2
CDLMARUBOZU,bull,none,1.75,99,57,42,57.6,49.5,1.61,N,0.35,0.068,1.03,13.1
CDLMARUBOZU,bull,none,2.0,99,57,42,57.6,49.9,1.52,N,-0.19,0.046,0.98,10.1
CDLMARUBOZU,bull,none,2.25,99,57,42,57.6,49.1,1.69,Y,-0.77,0.022,0.93,9.1
CDLMARUBOZU,bull,none,2.5,99,57,42,57.6,52.1,1.09,N,-0.88,0.01,0.93,6.1
CDLMARUBOZU,bull,none,2.75,99,57,42,57.6,50.1,1.49,N,-1.18,-0.005,0.9,6.1
CDLMARUBOZU,bull,none,3.0,99,57,42,57.6,51.9,1.14,N,-1.48,-0.02,0.88,6.1
CDLLONGLINE,bear,rsi_oversold,0.5,26,8,18,30.8,25.6,0.6,N,4.65,-0.003,1.43,69.2
CDLLONGLINE,bear,rsi_oversold,0.75,26,13,13,50.0,39.1,1.14,N,17.13,0.288,2.71,46.2
CDLLONGLINE,bear,rsi_oversold,1.0,26,14,12,53.8,40.4,1.4,N,16.56,0.263,2.56,34.6
CDLLONGLINE,bear,rsi_oversold,1.25,26,15,11,57.7,45.8,1.21,N,15.88,0.262,2.32,30.8
CDLLONGLINE,bear,rsi_oversold,1.5,26,16,10,61.5,48.1,1.37,N,16.38,0.283,2.4,23.1
CDLLONGLINE,bear,rsi_oversold,1.75,26,16,10,61.5,45.5,1.64,N,14.96,0.232,2.14,19.2
CDLLONGLINE,bear,rsi_oversold,2.0,26,16,10,61.5,48.4,1.34,N,14.16,0.206,2.02,11.5
CDLLONGLINE,bear,rsi_oversold,2.25,26,16,10,61.5,52.2,0.95,N,13.29,0.177,1.9,11.5
CDLLONGLINE,bear,rsi_oversold,2.5,26,16,10,61.5,48.7,1.31,N,13.68,0.17,1.95,7.7
CDLLONGLINE,bear,rsi_oversold,2.75,26,16,10,61.5,48.7,1.31,N,13.38,0.15,1.91,7.7
CDLLONGLINE,bear,rsi_oversold,3.0,26,16,10,61.5,51.0,1.08,N,13.07,0.131,1.87,7.7
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,0.5,145,56,89,38.6,37.1,0.39,N,1.58,0.016,1.21,55.9
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,0.75,145,69,76,47.6,44.3,0.81,N,2.98,0.061,1.37,39.3
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.0,145,73,72,50.3,47.6,0.67,N,1.98,0.012,1.21,33.1
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.25,145,75,70,51.7,46.7,1.21,N,2.77,0.01,1.32,22.1
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.5,145,78,67,53.8,50.2,0.87,N,2.9,0.019,1.33,15.2
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.75,145,79,66,54.5,50.5,0.96,N,3.0,0.024,1.35,11.7
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.0,145,79,66,54.5,49.8,1.12,N,3.35,0.043,1.41,7.6
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.25,145,79,66,54.5,51.6,0.69,N,3.16,0.034,1.37,6.9
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.5,145,79,66,54.5,47.8,1.62,N,2.8,0.017,1.32,6.9
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.75,145,79,66,54.5,48.5,1.44,N,2.44,-0.0,1.27,6.9
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,3.0,145,80,65,55.2,49.9,1.27,N,2.93,0.03,1.33,4.8
CDLHIGHWAVE,bull,none,0.5,297,101,196,34.0,33.0,0.36,N,1.33,nan,1.16,57.9
CDLHIGHWAVE,bull,none,0.75,297,133,164,44.8,40.8,1.4,N,2.66,nan,1.3,40.4
CDLHIGHWAVE,bull,none,1.0,297,149,148,50.2,45.6,1.59,N,2.93,nan,1.32,29.6
CDLHIGHWAVE,bull,none,1.25,297,154,143,51.9,48.4,1.2,N,3.47,nan,1.38,19.9
