形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLSPINNINGTOP,bull,rsi_mid_oversold,0.75,145,41.4,0.97,N,1.08,-0.026,48.3,N
CDLLONGLINE,bull,none,2.5,475,49.5,0.96,N,1.07,0.028,4.0,N
CDLBELTHOLD,bull,rsi_overbought,0.75,20,55.0,0.9,N,1.41,0.145,30.0,N
CDLSHOOTINGSTAR,bear,none,3.0,33,54.5,0.9,N,1.01,0.073,3.0,N
CDLDOJI,bull,none,2.0,387,51.4,0.87,N,1.04,nan,8.8,N
CDLSPINNINGTOP,bear,none,0.75,577,42.5,0.85,N,1.11,nan,44.4,N
CDLLONGLINE,bull,rsi_overbought,2.25,20,55.0,0.82,N,1.03,0.02,10.0,N
CDLRICKSHAWMAN,bull,trend_up,0.5,116,40.5,0.82,N,1.13,0.016,53.4,N
CDL3INSIDE,bear,none,2.25,27,51.9,0.81,N,1.22,-0.061,7.4,N
CDLMARUBOZU,bear,trend_up,1.75,51,52.9,0.79,N,1.3,0.102,7.8,N
CDLBELTHOLD,bear,rsi_oversold,1.25,24,45.8,0.77,N,0.84,0.023,33.3,N
CDLMARUBOZU,bear,atr_low,1.25,84,50.0,0.77,N,1.19,0.078,19.0,N
CDLLONGLINE,bear,rsi_oversold,1.25,22,50.0,0.76,N,1.34,0.218,13.6,N
CDLMARUBOZU,bull,atr_high,0.5,29,34.5,0.76,N,0.88,-0.065,55.2,N
CDLBELTHOLD,bull,trend_up,0.5,193,36.3,0.74,N,1.14,0.028,60.1,N
CDLENGULFING,bull,none,2.0,304,50.3,0.73,N,0.95,nan,6.9,N
CDLSPINNINGTOP,bull,atr_low,0.5,416,33.4,0.73,N,1.05,0.011,61.1,N
CDLMARUBOZU,bear,none,2.0,113,50.4,0.71,N,1.04,0.037,6.2,N
CDLHARAMI,bull,atr_high,0.75,33,45.5,0.65,N,0.92,-0.084,33.3,N
CDLSPINNINGTOP,bull,rsi_overbought,0.5,26,42.3,0.65,N,1.84,0.212,42.3,N
CDLHIGHWAVE,bull,trend_up,2.0,140,50.7,0.59,N,0.96,-0.026,8.6,N
CDLDOJI,bull,atr_low,1.75,275,50.5,0.56,N,0.93,-0.053,14.5,N
CDLHIKKAKE,bull,atr_high,2.5,115,50.4,0.53,N,1.2,0.081,3.5,N
CDLSPINNINGTOP,bear,trend_down,2.75,321,49.8,0.53,N,1.14,0.034,5.3,N
CDL3OUTSIDE,bull,none,1.25,147,48.3,0.52,N,0.96,0.01,23.8,N
CDLLONGLEGGEDDOJI,bull,atr_low,1.75,275,50.5,0.52,N,0.93,-0.053,14.5,N
CDL3OUTSIDE,bear,atr_low,3.0,103,51.5,0.51,N,0.99,0.034,1.9,N
CDLENGULFING,bull,trend_up,0.75,135,43.7,0.51,N,0.99,0.053,40.7,N
CDLHIGHWAVE,bull,rsi_mid_oversold,2.75,78,48.7,0.49,N,1.2,-0.048,7.7,N
CDLBELTHOLD,bear,atr_high,3.0,127,48.0,0.46,N,0.78,-0.116,3.9,N
CDLRICKSHAWMAN,bull,atr_high,3.0,70,50.0,0.42,N,1.28,0.04,1.4,N
CDLHAMMER,bull,atr_low,3.0,43,48.8,0.41,N,1.58,0.222,2.3,N
CDLSPINNINGTOP,bull,atr_high,0.75,145,42.8,0.39,N,1.07,0.018,39.3,N
CDL3OUTSIDE,bear,trend_down,2.75,71,49.3,0.38,N,1.04,0.038,1.4,N
CDLHANGINGMAN,bear,none,2.5,35,48.6,0.37,N,1.13,nan,5.7,N
CDLHARAMI,bear,atr_low,0.75,105,41.0,0.32,N,1.16,0.043,49.5,N
CDLHAMMER,bull,rsi_mid_oversold,3.0,38,50.0,0.3,N,1.39,0.257,2.6,N
CDLGRAVESTONEDOJI,bear,trend_up,3.0,34,47.1,0.23,N,0.55,-0.107,0.0,N
CDLHIGHWAVE,bull,atr_low,0.5,248,33.5,0.21,N,1.18,0.055,61.3,N
CDLENGULFING,bull,atr_high,3.0,81,46.9,0.2,N,0.75,-0.12,1.2,N
CDL3OUTSIDE,bull,atr_high,0.5,39,33.3,0.17,N,0.85,-0.072,64.1,N
CDLHIGHWAVE,bear,none,0.75,332,40.4,0.17,N,1.1,nan,45.8,N
CDLSHORTLINE,bear,trend_up,1.25,245,48.6,0.17,N,0.96,-0.017,17.6,N
CDLHARAMI,bear,trend_down,0.5,81,32.1,0.1,N,1.1,0.012,61.7,N
CDLLONGLINE,bull,trend_up,3.0,214,49.5,0.1,N,1.04,0.02,1.9,N
CDLBELTHOLD,bull,atr_low,2.75,303,48.5,0.09,N,1.06,0.033,2.3,N
CDLLONGLINE,bull,rsi_mid_oversold,0.5,90,35.6,0.09,N,1.24,0.028,60.0,N
CDLHAMMER,bull,trend_down,1.25,42,47.6,0.08,N,1.29,0.137,26.2,N
CDLMARUBOZU,bull,rsi_mid_oversold,0.5,20,35.0,0.08,N,1.15,0.034,55.0,N
CDLHARAMICROSS,bull,trend_down,2.5,21,42.9,0.07,N,1.21,-0.121,9.5,N
CDLLONGLINE,bull,trend_down,3.0,259,49.4,0.02,N,1.14,0.039,1.9,N
CDLBELTHOLD,bull,rsi_mid_oversold,0.5,79,36.7,-0.02,N,0.93,-0.017,59.5,N
CDLSHORTLINE,bear,atr_low,1.5,346,47.7,-0.02,N,0.94,-0.02,14.2,N
CDLHARAMI,bear,trend_up,0.75,58,41.4,-0.04,N,1.05,0.023,46.6,N
CDLINVERTEDHAMMER,bull,none,0.75,26,46.2,-0.07,N,1.89,0.189,38.5,N
CDLGRAVESTONEDOJI,bear,trend_down,0.5,25,28.0,-0.11,N,0.88,0.087,56.0,N
CDLHIKKAKE,bull,trend_down,2.25,218,47.2,-0.12,N,1.1,0.034,5.0,N
CDLSHORTLINE,bear,rsi_overbought,2.25,26,46.2,-0.13,N,0.55,-0.203,3.8,N
CDLBELTHOLD,bull,none,0.5,434,33.6,-0.14,N,1.0,0.001,61.3,N
CDLGRAVESTONEDOJI,bear,none,0.5,59,33.9,-0.16,N,0.76,-0.019,55.9,N
CDLBELTHOLD,bear,trend_down,1.25,240,46.2,-0.17,N,0.9,-0.013,26.7,N
CDLHARAMI,bear,none,0.5,140,31.4,-0.17,N,1.15,0.014,62.1,N
CDLTAKURI,bull,none,0.5,48,29.2,-0.18,N,0.75,-0.072,70.8,N
CDLGRAVESTONEDOJI,bear,atr_low,0.5,41,29.3,-0.2,N,0.63,-0.044,63.4,N
CDLXSIDEGAP3METHODS,bear,atr_low,0.5,26,30.8,-0.21,N,1.18,-0.015,57.7,N
CDLHIGHWAVE,bull,atr_high,3.0,76,46.1,-0.25,N,0.8,-0.059,2.6,N
CDLHAMMER,bull,none,3.0,66,45.5,-0.29,N,0.95,0.037,4.5,N
CDLHARAMICROSS,bull,atr_low,0.5,27,29.6,-0.31,N,1.19,-0.027,63.0,N
CDLEVENINGSTAR,bear,none,1.0,21,42.9,-0.36,N,0.64,-0.086,33.3,N
