形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLHARAMICROSS,bull,rsi_mid_oversold,0.5,20,9,11,45.0,30.0,1.46,N,0.77,0.101,1.3,55.0
CDLHARAMICROSS,bull,rsi_mid_oversold,0.75,20,10,10,50.0,37.5,1.15,N,0.53,0.078,1.16,45.0
CDLHARAMICROSS,bull,rsi_mid_oversold,1.0,20,11,9,55.0,43.3,1.05,N,0.47,0.085,1.13,35.0
CDLHARAMICROSS,bull,rsi_mid_oversold,1.25,20,13,7,65.0,42.5,2.04,Y,1.3,0.215,1.37,25.0
CDLHARAMICROSS,bull,rsi_mid_oversold,1.5,20,13,7,65.0,40.4,2.24,Y,0.78,0.165,1.19,20.0
CDLHARAMICROSS,bull,rsi_mid_oversold,1.75,20,14,6,70.0,40.8,2.65,Y,1.47,0.252,1.39,15.0
CDLHARAMICROSS,bull,rsi_mid_oversold,2.0,20,14,6,70.0,49.2,1.86,Y,1.06,0.215,1.25,15.0
CDLHARAMICROSS,bull,rsi_mid_oversold,2.25,20,14,6,70.0,56.2,1.24,N,0.65,0.177,1.14,15.0
CDLHARAMICROSS,bull,rsi_mid_oversold,2.5,20,14,6,70.0,52.1,1.6,N,0.24,0.14,1.05,15.0
CDLHARAMICROSS,bull,rsi_mid_oversold,2.75,20,14,6,70.0,42.9,2.45,Y,-0.17,0.102,0.97,15.0
CDLHARAMICROSS,bull,rsi_mid_oversold,3.0,20,14,6,70.0,52.9,1.53,N,-0.58,0.065,0.9,15.0
CDLADVANCEBLOCK,bear,atr_high,0.5,14,8,6,57.1,41.7,1.17,N,5.2,0.484,3.17,42.9
CDLADVANCEBLOCK,bear,atr_high,0.75,14,8,6,57.1,38.7,1.42,N,4.21,0.394,2.24,35.7
CDLADVANCEBLOCK,bear,atr_high,1.0,14,9,5,64.3,45.8,1.39,N,4.47,0.385,2.37,28.6
CDLADVANCEBLOCK,bear,atr_high,1.25,14,10,4,71.4,50.0,1.6,N,5.2,0.456,2.7,21.4
CDLADVANCEBLOCK,bear,atr_high,1.5,14,10,4,71.4,52.4,1.43,N,4.67,0.402,2.3,21.4
CDLADVANCEBLOCK,bear,atr_high,1.75,14,10,4,71.4,52.4,1.43,N,4.6,0.394,2.25,14.3
CDLADVANCEBLOCK,bear,atr_high,2.0,14,10,4,71.4,47.0,1.83,Y,5.67,0.485,3.18,7.1
CDLADVANCEBLOCK,bear,atr_high,2.25,14,10,4,71.4,49.4,1.65,Y,5.52,0.467,3.01,7.1
CDLADVANCEBLOCK,bear,atr_high,2.5,14,10,4,71.4,47.6,1.78,Y,5.37,0.45,2.85,7.1
CDLADVANCEBLOCK,bear,atr_high,2.75,14,10,4,71.4,39.3,2.46,Y,5.22,0.432,2.71,7.1
CDLADVANCEBLOCK,bear,atr_high,3.0,14,10,4,71.4,48.8,1.69,Y,5.07,0.414,2.58,7.1
CDLLONGLINE,bull,rsi_overbought,0.5,28,11,17,39.3,36.3,0.33,N,1.39,0.137,1.49,53.6
CDLLONGLINE,bull,rsi_overbought,0.75,28,14,14,50.0,41.4,0.93,N,1.32,0.139,1.38,42.9
CDLLONGLINE,bull,rsi_overbought,1.0,28,16,12,57.1,47.9,0.98,N,1.78,0.193,1.54,21.4
CDLLONGLINE,bull,rsi_overbought,1.25,28,17,11,60.7,47.9,1.36,N,2.77,0.296,1.93,10.7
CDLLONGLINE,bull,rsi_overbought,1.5,28,18,10,64.3,44.9,2.06,Y,3.01,0.329,2.08,7.1
CDLLONGLINE,bull,rsi_overbought,1.75,28,18,10,64.3,49.7,1.54,N,2.82,0.311,1.94,7.1
CDLLONGLINE,bull,rsi_overbought,2.0,28,18,10,64.3,50.3,1.48,N,2.62,0.293,1.82,7.1
CDLLONGLINE,bull,rsi_overbought,2.25,28,18,10,64.3,49.1,1.61,N,2.68,0.297,1.86,3.6
CDLLONGLINE,bull,rsi_overbought,2.5,28,18,10,64.3,47.3,1.8,Y,2.59,0.288,1.81,3.6
CDLLONGLINE,bull,rsi_overbought,2.75,28,18,10,64.3,49.1,1.61,N,2.5,0.279,1.76,3.6
CDLLONGLINE,bull,rsi_overbought,3.0,28,18,10,64.3,48.5,1.67,Y,2.41,0.27,1.71,3.6
CDLSHORTLINE,bull,rsi_overbought,0.5,21,12,9,57.1,35.7,2.05,Y,4.09,0.371,2.73,38.1
CDLSHORTLINE,bull,rsi_overbought,0.75,21,13,8,61.9,46.4,1.42,N,4.51,0.408,2.79,19.0
CDLSHORTLINE,bull,rsi_overbought,1.0,21,13,8,61.9,48.8,1.2,N,4.48,0.393,2.76,14.3
