形态,方向,过滤器,原始信号,过滤后,交易数,胜,负,胜率%,随机胜率%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%,平均波动$
CDLENGULFING,bull,rsi_mid_oversold,297,57,57,28,29,49.1,50.7,-0.24,N,-0.67,-0.108,0.94,21.1,22.33
CDLRICKSHAWMAN,bull,trend_up,257,130,130,61,69,46.9,48.2,-0.28,N,1.21,0.005,1.12,15.4,21.9
CDLBELTHOLD,bear,atr_high,358,119,119,55,64,46.2,47.8,-0.35,N,-0.79,-0.07,0.94,16.0,27.49
CDLLONGLEGGEDDOJI,bull,atr_low,345,247,247,116,131,47.0,48.1,-0.36,N,0.74,-0.039,1.07,16.6,20.88
CDLLONGLINE,bull,none,412,411,411,200,211,48.7,49.5,-0.36,N,1.17,0.015,1.1,15.8,24.98
CDLLONGLINE,bear,rsi_mid_overbought,412,56,56,27,29,48.2,50.7,-0.37,N,0.67,-0.073,1.07,16.1,20.05
CDLHIKKAKE,bull,trend_down,338,176,176,80,96,45.5,46.9,-0.39,N,-2.45,-0.08,0.83,23.9,25.89
CDLMARUBOZU,bull,atr_high,100,30,30,14,16,46.7,50.3,-0.4,N,-1.79,-0.013,0.86,16.7,24.13
CDLLONGLEGGEDDOJI,bull,rsi_overbought,345,29,29,14,15,48.3,52.1,-0.41,N,-5.95,-0.11,0.64,27.6,22.03
CDLSHOOTINGSTAR,bear,rsi_mid_overbought,29,15,15,7,8,46.7,52.0,-0.41,N,-6.83,-0.153,0.54,13.3,22.74
CDLHIKKAKE,bear,rsi_overbought,338,22,22,9,13,40.9,45.5,-0.43,N,-7.89,-0.281,0.45,22.7,14.67
CDL3INSIDE,bull,none,21,21,21,11,10,52.4,57.1,-0.44,N,6.77,0.335,1.49,28.6,37.24
CDLLONGLINE,bull,trend_up,412,207,207,98,109,47.3,48.9,-0.44,N,0.95,-0.004,1.09,15.5,23.32
CDLHAMMER,bull,trend_up,69,29,29,12,17,41.4,45.5,-0.45,N,-4.43,-0.207,0.62,17.2,21.54
CDLTAKURI,bull,none,38,38,38,17,21,44.7,48.4,-0.45,N,-6.9,-0.214,0.48,18.4,17.58
CDLHIKKAKE,bull,rsi_mid_oversold,338,81,81,39,42,48.1,50.7,-0.47,N,3.17,-0.012,1.27,23.5,24.87
CDLHIKKAKE,bear,rsi_mid_overbought,338,77,77,38,39,49.4,52.2,-0.5,N,-1.25,-0.008,0.89,13.0,23.78
CDLLONGLINE,bull,rsi_mid_oversold,412,73,73,35,38,47.9,51.1,-0.54,N,-1.76,-0.037,0.86,13.7,25.97
CDLHIKKAKE,bear,none,338,338,338,159,179,47.0,48.6,-0.58,N,-2.17,-0.064,0.83,19.8,24.71
CDLMATCHINGLOW,bull,trend_down,35,19,19,9,10,47.4,54.2,-0.6,N,-8.64,-0.326,0.31,26.3,20.7
CDLDRAGONFLYDOJI,bull,atr_low,38,27,27,11,16,40.7,47.0,-0.66,N,-3.81,-0.228,0.55,14.8,11.56
CDLENGULFING,bull,none,297,297,297,140,157,47.1,49.1,-0.68,N,-1.08,-0.066,0.91,20.2,24.0
CDLHAMMER,bull,trend_down,69,39,39,16,23,41.0,46.7,-0.71,N,-5.63,-0.187,0.58,15.4,20.6
CDLSPINNINGTOP,bull,rsi_oversold,508,32,32,12,20,37.5,44.1,-0.75,N,0.96,-0.108,1.05,34.4,35.22
CDLHARAMI,bear,atr_high,126,37,37,15,22,40.5,46.8,-0.76,N,-17.85,-0.289,0.3,27.0,28.2
CDLXSIDEGAP3METHODS,bull,none,40,40,40,18,22,45.0,51.2,-0.79,N,1.91,0.008,1.16,20.0,26.42
CDLDOJI,bull,atr_low,346,248,248,117,131,47.2,49.8,-0.81,N,0.76,-0.036,1.08,16.5,20.83
CDLHARAMI,bull,rsi_mid_oversold,126,35,35,14,21,40.0,48.0,-0.95,N,-10.41,-0.223,0.45,25.7,26.52
CDLMATCHINGLOW,bull,none,35,35,35,14,21,40.0,48.0,-0.95,N,-6.81,-0.238,0.46,22.9,20.35
