形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLDRAGONFLYDOJI,bull,trend_down,0.5,26,12,14,46.2,35.9,1.09,N,3.37,0.411,2.38,50.0
CDLDRAGONFLYDOJI,bull,trend_down,0.75,26,13,13,50.0,32.7,1.88,Y,2.84,0.37,1.94,38.5
CDLDRAGONFLYDOJI,bull,trend_down,1.0,26,15,11,57.7,40.1,1.83,Y,2.88,0.417,1.85,30.8
CDLDRAGONFLYDOJI,bull,trend_down,1.25,26,17,9,65.4,39.4,2.71,Y,4.33,0.515,2.76,15.4
CDLDRAGONFLYDOJI,bull,trend_down,1.5,26,17,9,65.4,45.8,2.0,Y,4.03,0.476,2.46,15.4
CDLDRAGONFLYDOJI,bull,trend_down,1.75,26,18,8,69.2,47.4,2.23,Y,4.47,0.518,2.83,11.5
CDLDRAGONFLYDOJI,bull,trend_down,2.0,26,18,8,69.2,45.2,2.46,Y,4.26,0.49,2.6,11.5
CDLDRAGONFLYDOJI,bull,trend_down,2.25,26,18,8,69.2,47.4,2.23,Y,4.05,0.461,2.41,11.5
CDLDRAGONFLYDOJI,bull,trend_down,2.5,26,19,7,73.1,50.3,2.32,Y,5.08,0.597,3.74,3.8
CDLDRAGONFLYDOJI,bull,trend_down,2.75,26,19,7,73.1,49.7,2.39,Y,5.01,0.587,3.61,3.8
CDLDRAGONFLYDOJI,bull,trend_down,3.0,26,19,7,73.1,50.6,2.29,Y,4.94,0.578,3.48,3.8
CDLDRAGONFLYDOJI,bull,none,0.5,51,22,29,43.1,33.5,1.46,N,1.45,0.162,1.58,52.9
CDLDRAGONFLYDOJI,bull,none,0.75,51,24,27,47.1,41.2,0.85,N,1.2,0.135,1.41,37.3
CDLDRAGONFLYDOJI,bull,none,1.0,51,27,24,52.9,47.4,0.79,N,1.5,0.197,1.48,25.5
CDLDRAGONFLYDOJI,bull,none,1.25,51,30,21,58.8,49.7,1.31,N,2.4,0.26,1.94,11.8
CDLDRAGONFLYDOJI,bull,none,1.5,51,30,21,58.8,50.5,1.19,N,2.17,0.231,1.78,11.8
CDLDRAGONFLYDOJI,bull,none,1.75,51,31,20,60.8,47.5,1.89,Y,2.4,0.252,1.92,7.8
CDLDRAGONFLYDOJI,bull,none,2.0,51,32,19,62.7,48.9,1.98,Y,2.61,0.282,2.05,5.9
CDLDRAGONFLYDOJI,bull,none,2.25,51,32,19,62.7,47.2,2.22,Y,2.5,0.267,1.97,5.9
CDLDRAGONFLYDOJI,bull,none,2.5,51,33,18,64.7,47.4,2.48,Y,3.03,0.337,2.46,2.0
CDLDRAGONFLYDOJI,bull,none,2.75,51,33,18,64.7,50.8,1.98,Y,2.99,0.332,2.42,2.0
CDLDRAGONFLYDOJI,bull,none,3.0,51,33,18,64.7,51.1,1.94,Y,2.96,0.327,2.38,2.0
CDLTAKURI,bull,rsi_mid_oversold,0.5,25,11,14,44.0,30.0,1.53,N,2.48,0.286,2.02,52.0
CDLTAKURI,bull,rsi_mid_oversold,0.75,25,12,13,48.0,33.0,1.6,N,2.45,0.275,1.89,36.0
CDLTAKURI,bull,rsi_mid_oversold,1.0,25,14,11,56.0,39.7,1.67,Y,2.66,0.334,1.91,28.0
CDLTAKURI,bull,rsi_mid_oversold,1.25,25,16,9,64.0,44.3,1.98,Y,3.66,0.402,2.76,16.0
CDLTAKURI,bull,rsi_mid_oversold,1.5,25,16,9,64.0,46.3,1.77,Y,3.35,0.362,2.4,16.0
CDLTAKURI,bull,rsi_mid_oversold,1.75,25,17,8,68.0,54.0,1.4,N,3.81,0.406,2.85,12.0
CDLTAKURI,bull,rsi_mid_oversold,2.0,25,17,8,68.0,48.7,1.93,Y,3.59,0.376,2.58,12.0
CDLTAKURI,bull,rsi_mid_oversold,2.25,25,17,8,68.0,49.7,1.83,Y,3.37,0.346,2.35,12.0
CDLTAKURI,bull,rsi_mid_oversold,2.5,25,18,7,72.0,51.3,2.07,Y,4.44,0.487,4.08,4.0
CDLTAKURI,bull,rsi_mid_oversold,2.75,25,18,7,72.0,47.3,2.47,Y,4.37,0.477,3.88,4.0
CDLTAKURI,bull,rsi_mid_oversold,3.0,25,18,7,72.0,52.0,2.0,Y,4.3,0.467,3.7,4.0
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,0.5,27,12,15,44.4,35.5,0.97,N,2.65,0.306,2.06,51.9
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,0.75,27,13,14,48.1,37.3,1.16,N,2.49,0.286,1.85,37.0
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,1.0,27,15,12,55.6,39.2,1.74,Y,2.55,0.331,1.79,29.6
