形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLHIKKAKE,bear,trend_down,2.25,738,51.8,1.68,Y,0.94,0.001,8.1,N
CDL3OUTSIDE,bear,atr_low,1.0,336,48.5,1.65,Y,1.09,0.089,30.4,N
CDLHIGHWAVE,bear,rsi_mid_overbought,1.0,339,49.3,1.64,N,0.96,-0.045,30.7,N
CDLHIGHWAVE,bear,none,3.0,1564,51.5,1.63,N,1.13,nan,3.3,N
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,2.0,117,53.0,1.61,N,1.57,0.003,6.8,N
CDLDOJI,bull,rsi_overbought,2.5,187,55.1,1.6,N,1.25,0.125,4.3,N
CDLHIKKAKE,bull,rsi_mid_oversold,2.0,325,53.8,1.6,N,0.94,-0.01,14.5,N
CDLHIGHWAVE,bull,atr_low,1.75,1113,51.2,1.59,N,1.13,0.031,12.5,N
CDLMARUBOZU,bear,rsi_mid_overbought,0.5,55,41.8,1.59,N,1.07,0.133,45.5,N
CDL3OUTSIDE,bear,none,2.75,504,51.6,1.58,N,1.22,0.069,3.8,N
CDLGRAVESTONEDOJI,bear,atr_low,0.75,168,48.8,1.55,N,1.83,0.099,31.0,N
CDLLONGLEGGEDDOJI,bull,rsi_overbought,2.5,184,54.9,1.54,N,1.24,0.126,4.3,N
CDLMARUBOZU,bear,atr_high,1.75,119,52.9,1.5,N,0.97,0.046,12.6,N
CDLSHORTLINE,bear,rsi_oversold,2.5,83,55.4,1.5,N,1.18,0.067,2.4,N
CDLHAMMER,bull,atr_high,1.5,105,54.3,1.42,N,0.86,0.03,10.5,N
CDLXSIDEGAP3METHODS,bull,trend_up,2.5,42,57.1,1.42,N,0.94,0.047,4.8,N
CDLHIKKAKE,bull,rsi_oversold,0.5,67,38.8,1.41,N,1.24,0.019,55.2,N
CDLRICKSHAWMAN,bull,trend_up,2.25,726,51.8,1.37,N,1.12,0.068,6.2,N
CDLSHORTLINE,bull,trend_down,1.5,1010,50.6,1.37,N,1.01,0.027,12.6,N
CDLTAKURI,bull,atr_high,2.25,160,53.8,1.34,N,0.96,0.002,6.9,N
CDLSHORTLINE,bull,rsi_overbought,2.75,189,52.4,1.32,N,1.81,0.127,1.1,N
CDL3OUTSIDE,bear,rsi_oversold,1.0,23,47.8,1.31,N,0.88,-0.061,30.4,N
CDLGRAVESTONEDOJI,bear,trend_up,1.25,130,51.5,1.31,N,1.46,0.012,14.6,N
CDLHANGINGMAN,bear,none,0.75,346,41.3,1.3,N,0.82,-0.087,27.2,N
CDLHIKKAKEMOD,bull,none,1.25,36,55.6,1.28,N,0.54,-0.054,22.2,N
CDLHAMMER,bull,none,2.25,345,52.5,1.25,N,0.88,0.027,7.2,N
CDLSPINNINGTOP,bear,rsi_oversold,2.0,105,51.4,1.24,N,1.81,0.033,5.7,N
CDLMATCHINGLOW,bull,trend_down,2.25,100,51.0,1.22,N,0.6,-0.164,12.0,N
CDLLONGLINE,bull,rsi_mid_oversold,1.25,279,50.9,1.21,N,0.89,0.032,20.1,N
CDLHAMMER,bull,atr_low,2.5,239,51.9,1.2,N,1.0,0.05,5.4,N
CDLMORNINGSTAR,bull,trend_up,3.0,24,58.3,1.19,N,1.52,0.135,8.3,N
CDLSPINNINGTOP,bear,trend_down,2.0,1118,50.4,1.19,N,1.2,0.053,8.0,N
CDL3OUTSIDE,bear,rsi_overbought,2.25,49,51.0,1.15,N,1.22,0.069,14.3,N
CDLRICKSHAWMAN,bull,rsi_overbought,1.5,116,53.4,1.15,N,1.28,0.109,12.1,N
CDLSEPARATINGLINES,bull,none,2.5,68,54.4,1.15,N,1.15,-0.029,5.9,N
CDLBELTHOLD,bear,rsi_mid_overbought,1.25,267,47.9,1.11,N,0.89,-0.032,20.6,N
CDLHIGHWAVE,bear,atr_high,1.75,442,49.5,1.1,N,1.1,-0.006,7.2,N
CDLBELTHOLD,bull,rsi_mid_oversold,0.75,217,45.6,1.07,N,1.09,0.045,37.8,N
CDLSEPARATINGLINES,bull,trend_up,1.25,34,52.9,1.07,N,1.0,-0.041,14.7,N
CDLXSIDEGAP3METHODS,bull,atr_high,1.75,22,54.5,1.04,N,1.26,-0.027,9.1,N
CDLHARAMICROSS,bear,atr_low,1.0,163,46.0,0.99,N,1.41,0.002,35.6,N
