timestamp,open,high,low,close,volume
2026-04-23 23:45:00,4691.22,4693.11,4688.32,4692.74,1370.0
2026-04-24 01:00:00,4701.17,4705.15,4694.83,4697.21,1546.0
2026-04-24 01:15:00,4697.18,4697.21,4692.13,4692.71,1052.0
2026-04-24 01:30:00,4692.7,4696.68,4690.77,4693.56,1304.0
2026-04-24 01:45:00,4693.51,4694.45,4690.02,4693.15,1057.0
2026-04-24 02:00:00,4693.07,4695.41,4689.61,4689.62,1316.0
2026-04-24 02:15:00,4689.59,4694.49,4686.79,4694.25,1546.0
2026-04-24 02:30:00,4694.69,4700.62,4693.45,4697.28,1497.0
2026-04-24 02:45:00,4697.3,4699.41,4692.13,4695.28,1612.0
2026-04-24 03:00:00,4695.26,4700.03,4690.86,4697.96,3141.0
2026-04-24 03:15:00,4698.09,4705.55,4696.35,4705.41,2792.0
2026-04-24 03:30:00,4705.45,4707.79,4701.16,4701.47,2741.0
2026-04-24 03:45:00,4701.48,4705.81,4697.18,4704.45,3048.0
2026-04-24 04:00:00,4704.41,4709.92,4695.78,4709.29,3930.0
2026-04-24 04:15:00,4709.21,4710.93,4698.23,4698.33,3175.0
2026-04-24 04:30:00,4698.32,4702.27,4690.36,4690.85,3780.0
2026-04-24 04:45:00,4690.82,4700.64,4690.28,4699.43,3071.0
2026-04-24 05:00:00,4699.35,4700.54,4690.12,4693.06,3037.0
2026-04-24 05:15:00,4693.26,4695.95,4681.89,4683.61,2911.0
2026-04-24 05:30:00,4683.59,4690.78,4680.02,4683.28,3489.0
2026-04-24 05:45:00,4683.26,4683.96,4673.12,4676.66,3148.0
2026-04-24 06:00:00,4676.65,4678.23,4668.53,4670.28,3092.0
2026-04-24 06:15:00,4670.46,4677.93,4670.14,4674.31,2754.0
2026-04-24 06:30:00,4674.33,4678.04,4672.81,4675.18,2259.0
2026-04-24 06:45:00,4675.28,4676.73,4671.36,4672.04,1621.0
2026-04-24 07:00:00,4672.03,4674.51,4667.41,4669.9,2137.0
2026-04-24 07:15:00,4669.92,4670.67,4658.32,4659.4,2482.0
2026-04-24 07:30:00,4659.65,4668.36,4657.6,4667.94,2289.0
2026-04-24 07:45:00,4667.92,4676.71,4667.92,4674.36,2001.0
2026-04-24 08:00:00,4674.5,4676.75,4669.62,4673.3,1811.0
2026-04-24 08:15:00,4673.58,4678.43,4671.95,4676.39,1838.0
2026-04-24 08:30:00,4676.42,4687.18,4676.42,4682.53,2835.0
2026-04-24 08:45:00,4682.54,4686.63,4680.32,4686.3,2783.0
2026-04-24 09:00:00,4686.66,4687.89,4680.64,4681.86,2925.0
2026-04-24 09:15:00,4681.81,4681.92,4669.93,4671.28,3224.0
2026-04-24 09:30:00,4671.54,4675.97,4669.8,4673.55,3305.0
2026-04-24 09:45:00,4673.54,4676.24,4666.68,4671.84,3496.0
2026-04-24 10:00:00,4671.67,4681.24,4670.86,4680.51,2591.0
2026-04-24 10:15:00,4680.5,4684.66,4678.14,4684.26,2363.0
2026-04-24 10:30:00,4684.13,4685.7,4682.15,4685.39,2238.0
2026-04-24 10:45:00,4685.3,4695.13,4685.13,4694.37,2406.0
2026-04-24 11:00:00,4694.36,4694.47,4686.36,4687.33,2952.0
2026-04-24 11:15:00,4687.5,4697.27,4686.64,4687.75,3103.0
2026-04-24 11:30:00,4687.82,4690.02,4684.95,4688.02,2555.0
2026-04-24 11:45:00,4687.99,4692.99,4687.6,4690.66,2328.0
2026-04-24 12:00:00,4690.7,4695.21,4689.55,4695.15,2537.0
2026-04-24 12:15:00,4695.01,4696.58,4682.26,4683.23,2825.0
2026-04-24 12:30:00,4683.13,4688.43,4679.31,4685.86,2626.0
2026-04-24 12:45:00,4685.92,4686.62,4679.28,4681.96,2196.0
2026-04-24 13:00:00,4681.94,4684.51,4680.77,4682.19,2180.0
2026-04-24 13:15:00,4682.17,4686.12,4680.15,4682.17,2193.0
2026-04-24 13:30:00,4682.21,4682.3,4674.59,4678.86,2431.0
2026-04-24 13:45:00,4678.87,4680.59,4676.55,4677.74,1885.0
2026-04-24 14:00:00,4677.7,4703.27,4677.7,4697.1,4180.0
2026-04-24 14:15:00,4697.08,4716.95,4692.48,4715.39,4490.0
2026-04-24 14:30:00,4715.55,4717.21,4705.03,4705.34,3684.0
2026-04-24 14:45:00,4705.26,4708.22,4702.77,4706.76,2918.0
2026-04-24 15:00:00,4706.83,4710.13,4703.37,4708.59,3414.0
2026-04-24 15:15:00,4708.58,4711.72,4701.39,4710.47,3516.0
2026-04-24 15:30:00,4710.32,4711.51,4698.65,4698.76,3374.0
2026-04-24 15:45:00,4698.88,4701.0,4690.3,4700.65,3565.0
2026-04-24 16:00:00,4700.98,4705.54,4696.12,4702.86,3997.0
2026-04-24 16:15:00,4702.85,4705.05,4693.46,4696.94,3857.0
2026-04-24 16:30:00,4696.98,4709.59,4689.71,4708.09,4878.0
2026-04-24 16:45:00,4708.1,4717.31,4704.66,4712.06,4802.0
2026-04-24 17:00:00,4711.79,4740.26,4706.82,4731.43,5180.0
2026-04-24 17:15:00,4731.09,4733.91,4721.41,4725.44,4727.0
2026-04-24 17:30:00,4725.45,4732.74,4723.62,4730.25,4594.0
2026-04-24 17:45:00,4730.3,4731.15,4723.97,4726.28,3864.0
2026-04-24 18:00:00,4726.33,4727.13,4718.83,4721.86,3945.0
2026-04-24 18:15:00,4721.84,4726.29,4718.66,4721.92,3775.0
2026-04-24 18:30:00,4721.84,4729.47,4715.12,4727.9,3857.0
2026-04-24 18:45:00,4728.04,4733.34,4723.94,4727.2,4885.0
2026-04-24 19:00:00,4727.14,4729.56,4720.15,4720.44,3712.0
2026-04-24 19:15:00,4720.36,4725.74,4719.06,4723.24,3308.0
2026-04-24 19:30:00,4723.34,4727.11,4719.28,4722.46,3203.0
2026-04-24 19:45:00,4722.47,4727.66,4720.26,4726.76,3246.0
2026-04-24 20:00:00,4726.79,4729.94,4725.67,4727.83,3288.0
2026-04-24 20:15:00,4727.56,4729.23,4722.31,4722.84,2880.0
2026-04-24 20:30:00,4722.57,4725.47,4719.03,4722.54,2899.0
2026-04-24 20:45:00,4722.59,4727.7,4720.53,4723.34,2541.0
2026-04-24 21:00:00,4723.36,4724.76,4719.88,4723.72,2653.0
2026-04-24 21:15:00,4723.61,4724.22,4716.93,4717.1,2712.0
2026-04-24 21:30:00,4717.09,4720.43,4716.82,4718.82,2226.0
2026-04-24 21:45:00,4718.71,4723.18,4717.72,4722.62,2197.0
2026-04-24 22:00:00,4722.68,4725.97,4720.96,4722.36,2294.0
2026-04-24 22:15:00,4722.34,4723.22,4717.36,4718.95,2106.0
2026-04-24 22:30:00,4718.9,4720.59,4715.93,4716.66,2253.0
2026-04-24 22:45:00,4716.47,4718.55,4713.61,4716.9,3069.0
2026-04-24 23:00:00,4716.13,4717.38,4705.47,4706.68,1809.0
2026-04-24 23:15:00,4706.7,4709.66,4705.35,4708.09,1333.0
2026-04-24 23:30:00,4708.08,4708.62,4705.22,4707.75,1264.0
2026-04-24 23:45:00,4707.7,4709.77,4706.16,4708.07,876.0
2026-04-27 01:00:00,4697.79,4706.96,4679.99,4685.25,2879.0
2026-04-27 01:15:00,4685.58,4688.47,4682.95,4686.81,1605.0
2026-04-27 01:30:00,4686.46,4686.78,4682.12,4684.41,1368.0
2026-04-27 01:45:00,4684.4,4685.87,4681.87,4684.48,1022.0
2026-04-27 02:00:00,4684.46,4684.77,4677.53,4683.56,1395.0
2026-04-27 02:15:00,4683.55,4684.4,4677.14,4677.27,971.0
2026-04-27 02:30:00,4676.83,4679.88,4675.01,4676.79,1271.0
2026-04-27 02:45:00,4676.95,4681.99,4676.95,4679.91,1309.0
2026-04-27 03:00:00,4680.05,4681.02,4672.11,4679.8,2230.0
2026-04-27 03:15:00,4679.87,4682.2,4677.6,4680.75,1830.0
2026-04-27 03:30:00,4680.94,4681.45,4676.72,4680.6,1538.0
2026-04-27 03:45:00,4680.63,4698.07,4680.63,4697.76,1878.0
2026-04-27 04:00:00,4697.62,4709.56,4692.0,4692.59,3408.0
2026-04-27 04:15:00,4692.58,4698.52,4690.77,4697.96,2823.0
2026-04-27 04:30:00,4698.04,4700.83,4695.61,4697.82,2579.0
2026-04-27 04:45:00,4697.82,4706.42,4697.66,4702.52,2274.0
2026-04-27 05:00:00,4702.55,4706.61,4696.09,4699.55,2255.0
2026-04-27 05:15:00,4699.47,4708.09,4698.82,4705.63,1691.0
2026-04-27 05:30:00,4705.61,4714.36,4704.27,4713.37,2315.0
2026-04-27 05:45:00,4713.51,4723.31,4712.02,4718.1,2205.0
2026-04-27 06:00:00,4717.99,4722.12,4716.39,4717.77,2064.0
2026-04-27 06:15:00,4717.76,4718.42,4714.37,4715.56,1714.0
2026-04-27 06:30:00,4715.67,4729.26,4715.32,4728.2,1757.0
2026-04-27 06:45:00,4728.21,4728.57,4722.34,4724.1,1638.0
2026-04-27 07:00:00,4724.0,4727.81,4723.47,4727.43,1306.0
2026-04-27 07:15:00,4727.41,4727.87,4724.92,4726.82,1097.0
2026-04-27 07:30:00,4726.84,4729.94,4725.32,4726.16,1277.0
2026-04-27 07:45:00,4726.14,4726.52,4722.65,4724.95,1350.0
2026-04-27 08:00:00,4725.04,4725.38,4718.17,4718.35,1536.0
2026-04-27 08:15:00,4718.28,4719.79,4715.96,4718.07,1493.0
2026-04-27 08:30:00,4718.1,4718.24,4709.05,4711.59,2263.0
2026-04-27 08:45:00,4711.42,4713.55,4708.58,4709.97,1851.0
2026-04-27 09:00:00,4709.86,4715.49,4709.16,4714.37,2124.0
2026-04-27 09:15:00,4714.35,4715.6,4711.3,4714.31,2076.0
2026-04-27 09:30:00,4714.37,4714.37,4709.29,4710.56,2150.0
2026-04-27 09:45:00,4710.54,4715.37,4709.86,4712.72,1840.0
2026-04-27 10:00:00,4712.56,4718.15,4710.78,4717.0,2328.0
2026-04-27 10:15:00,4716.99,4718.2,4712.27,4715.98,2040.0
2026-04-27 10:30:00,4715.99,4717.23,4713.36,4714.75,2009.0
2026-04-27 10:45:00,4714.7,4716.77,4709.88,4713.23,1975.0
2026-04-27 11:00:00,4713.29,4714.14,4710.05,4710.78,2369.0
2026-04-27 11:15:00,4710.89,4713.93,4709.42,4710.55,2055.0
2026-04-27 11:30:00,4710.66,4711.74,4705.27,4711.74,1986.0
2026-04-27 11:45:00,4711.75,4714.59,4705.48,4706.65,1836.0
2026-04-27 12:00:00,4706.77,4708.15,4702.42,4705.03,1801.0
2026-04-27 12:15:00,4704.94,4706.6,4701.57,4702.33,1598.0
2026-04-27 12:30:00,4702.35,4705.31,4699.34,4704.54,1746.0
2026-04-27 12:45:00,4704.45,4704.47,4699.44,4703.5,1513.0
2026-04-27 13:00:00,4703.62,4706.72,4701.51,4701.83,1459.0
2026-04-27 13:15:00,4701.87,4705.73,4699.46,4705.03,1349.0
2026-04-27 13:30:00,4705.04,4710.45,4704.57,4708.91,1630.0
2026-04-27 13:45:00,4709.1,4710.82,4707.02,4708.72,1741.0
2026-04-27 14:00:00,4708.71,4708.99,4703.87,4703.97,1741.0
2026-04-27 14:15:00,4703.99,4706.77,4700.25,4705.13,1896.0
2026-04-27 14:30:00,4705.15,4708.43,4699.98,4702.51,1856.0
2026-04-27 14:45:00,4702.66,4705.18,4700.8,4704.72,1577.0
2026-04-27 15:00:00,4704.75,4709.0,4702.46,4708.73,2219.0
2026-04-27 15:15:00,4708.75,4712.48,4701.66,4706.95,2584.0
2026-04-27 15:30:00,4706.87,4707.73,4696.99,4698.88,2521.0
2026-04-27 15:45:00,4698.76,4704.38,4696.94,4699.12,2429.0
2026-04-27 16:00:00,4699.13,4700.46,4693.18,4695.88,3135.0
2026-04-27 16:15:00,4695.82,4703.34,4695.4,4699.83,2537.0
2026-04-27 16:30:00,4699.84,4702.47,4689.04,4693.2,3626.0
2026-04-27 16:45:00,4693.22,4697.27,4689.27,4696.08,3446.0
2026-04-27 17:00:00,4695.94,4696.19,4687.68,4692.48,3386.0
2026-04-27 17:15:00,4692.43,4696.61,4686.21,4688.85,3131.0
2026-04-27 17:30:00,4688.93,4696.62,4683.43,4693.35,3227.0
2026-04-27 17:45:00,4693.4,4693.95,4676.48,4678.07,2952.0
2026-04-27 18:00:00,4678.05,4679.28,4667.07,4674.4,3401.0
2026-04-27 18:15:00,4674.3,4681.0,4671.81,4680.99,2974.0
2026-04-27 18:30:00,4681.1,4682.48,4676.91,4677.54,2543.0
2026-04-27 18:45:00,4677.42,4677.96,4667.67,4669.93,2672.0
2026-04-27 19:00:00,4669.91,4674.78,4667.22,4674.44,2415.0
2026-04-27 19:15:00,4674.29,4677.63,4673.66,4676.24,2098.0
2026-04-27 19:30:00,4676.25,4679.4,4674.2,4674.7,2023.0
2026-04-27 19:45:00,4674.68,4677.9,4674.65,4676.55,1820.0
2026-04-27 20:00:00,4676.56,4678.39,4671.57,4673.59,2124.0
2026-04-27 20:15:00,4673.58,4679.9,4668.19,4679.65,2527.0
2026-04-27 20:30:00,4679.78,4686.03,4679.39,4682.99,2300.0
2026-04-27 20:45:00,4683.0,4684.31,4680.98,4682.07,1891.0
2026-04-27 21:00:00,4682.05,4682.65,4678.86,4681.41,1733.0
2026-04-27 21:15:00,4681.31,4685.39,4680.57,4684.0,1818.0
