时间,策略,动作,方向,价格,手数,盈亏($),原因
2026-07-06 16:16:56,EMA_CROSS,开仓,SELL,4154.47,0.1,0,EMA_CROSS信号触发
2026-07-06 16:16:56,ADX_RIDER,开仓,BUY,4154.47,0.1,0,ADX_RIDER信号触发
